PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin
3MrfM,2B5/2RQ2bk/3p2pp/4p3/8/5r1P/4nPPK/1q6 w - - 0 33,f6f3 d7g7,901,82,100,169,mate mateIn1 middlegame oneMove,https://lichess.org/Da0F55kF/black#64,,"(900, 1000]"
3NtYv,r2q2kr/pp3p2/2pp1p1Q/2b1pN2/4P3/1bPPN3/1P3PPP/2K3RR w - - 1 18,h7g8 h6g7,901,87,100,47,mate mateIn1 middlegame oneMove,https://lichess.org/e90ocZcw/black#34,Four_Knights_Game Four_Knights_Game_Other_variations,"(900, 1000]"
3ef9I,2kr3r/2pqnp1p/p2b1p1B/1p1Q4/6b1/1B3N2/PPP2PPP/R3R1K1 w - - 6 17,e8c8 d5a8,901,75,100,131,mate mateIn1 middlegame oneMove,https://lichess.org/aTTCYMsv/black#32,Scandinavian_Defense Scandinavian_Defense_Valencian_Variation,"(900, 1000]"
3rrZs,3r1rk1/2Q2pp1/p6p/8/8/1P3B1n/P5PP/2R3RK b - - 0 27,e1g1 h3f2,901,76,100,106,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/N4UJWi2L#53,,"(900, 1000]"
3xsub,5rk1/p1p2qp1/2pbp2p/3p3n/4p2Q/1PN1P2P/PBPPN1P1/5RK1 b - - 1 19,a1f1 f7f1,901,76,100,205,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/3G3OOOSH#37,,"(900, 1000]"
49d2G,1k1r4/ppp2pp1/2p5/2P1P3/5B2/N1P2bPK/PP3P2/4R3 b - - 2 26,a1e1 d8h8 f4h6 h8h6,901,76,100,144,endgame mate mateIn2 short,https://lichess.org/f0fW4ndh#51,,"(900, 1000]"
4i5az,rnb2q1r/ppp1b1kp/5n2/3BQ3/3pP3/8/PPP2PPP/RNB1K2R w KQ - 5 10,g8f6 e5g5,901,79,100,103,mate mateIn1 oneMove opening,https://lichess.org/dALr8E5i/black#18,Zukertort_Opening Zukertort_Opening_Herrstrom_Gambit,"(900, 1000]"
4t8u6,r2q1rk1/1p1n2p1/pbp1p1P1/6p1/4P2Q/2N4P/PPP3B1/R4R1K w - - 0 20,f6g5 h4h7,901,77,100,1040,master mate mateIn1 middlegame oneMove,https://lichess.org/f41vUUk0/black#38,Bird_Opening Bird_Opening_Dutch_Variation,"(900, 1000]"
4tTU3,5r1k/6p1/7p/3q4/7P/P1P3P1/1PQ1RP2/5K2 b - - 2 42,g2f1 d5h1,901,76,100,745,endgame mate mateIn1 oneMove,https://lichess.org/hSU3e3gn#83,,"(900, 1000]"
58jqF,r5k1/ppp2p2/5Qp1/3p2q1/3pb3/P6P/1PP3P1/R4R1K b - - 0 28,f2f6 g5g2,901,75,100,142,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/Ggvnsb7K#55,,"(900, 1000]"
5Bg50,r1b2rk1/pp1pbppp/1qn5/4P3/5Bn1/2N2N1P/PP3PP1/R2QKB1R b KQ - 0 11,h2h3 b6f2,901,75,100,337,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/988gg4n0#21,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Declined,"(900, 1000]"
5CxdY,r4rk1/pppR2np/5pbQ/8/5PP1/5RKP/4q3/8 w - - 5 34,e6g7 h6g7,901,76,100,84,mate mateIn1 middlegame oneMove,https://lichess.org/jj0mKXJr/black#66,,"(900, 1000]"
8NfsG,4n1k1/pp1q2p1/5pQp/8/2pP3N/2P1r2P/PP3R1K/6R1 b - - 0 32,f3h4 d7h3,901,76,100,157,mate mateIn1 middlegame oneMove,https://lichess.org/k4FWmdgg#63,,"(900, 1000]"
8RT6K,2r2rk1/1p1b1pn1/n2qp1N1/p2p2PQ/3P1P2/P1N1PR2/1P5P/R5K1 w - - 1 21,e8g7 h5h8,901,141,100,9,mate mateIn1 middlegame oneMove,https://lichess.org/1s8aPUkp/black#40,,"(900, 1000]"
8Se5w,2r5/7k/1q2p1pp/2p1B3/p2p3Q/PP3r2/2P1nPPK/2R5 w - - 0 33,f8f3 h4e7 f3f7 e7f7,901,75,100,981,mate mateIn2 middlegame short,https://lichess.org/XboJlk57/black#64,,"(900, 1000]"
9WsQp,8/5pk1/4p1p1/2p4p/4Q3/4P2P/3qBPP1/5K2 b - - 6 39,b7e4 d2c1 e2d1 c1d1,901,75,100,444,endgame mate mateIn2 short,https://lichess.org/ag3romL4#77,,"(900, 1000]"
ABLzf,8/5Qbk/b5pp/3Bp3/4P2P/2P2N2/1r3qPK/8 w - - 1 33,g8h7 f7g8,901,77,100,524,mate mateIn1 middlegame oneMove,https://lichess.org/BvzZdppW/black#64,,"(900, 1000]"
AVH1F,8/p4k1p/3br1p1/3Q1p2/3B3q/2P5/PP3PP1/4R1K1 b - - 4 31,a1e1 h4h2 g1f1 h2h1,901,77,100,498,endgame mate mateIn2 short,https://lichess.org/PH9jLjPD#61,,"(900, 1000]"
AvLaK,3r4/1k1P2p1/1qNRB2p/4PP2/2p3P1/2Q5/1PPK2P1/r7 b - - 2 43,c1d2 b6f2,901,76,100,95,mate mateIn1 middlegame oneMove,https://lichess.org/LKhPEepJ#85,,"(900, 1000]"
B2945,r4qQ1/pp2k2p/6p1/8/3p2B1/8/PP4PP/6K1 w - - 0 31,e8e7 g8e6 e7d8 e6d7,901,76,100,172,endgame mate mateIn2 short,https://lichess.org/H4ANE0dr/black#60,,"(900, 1000]"
BKZqc,5R1R/6r1/4p1k1/3bPp2/3P1P1p/7r/3K2p1/8 w - - 0 46,g3g2 f8f6,901,75,100,443,endgame mate mateIn1 oneMove,https://lichess.org/BweKERUo/black#90,,"(900, 1000]"
Bbj3A,3r4/4R2p/5Pk1/4b3/8/4Q3/P1P2PP1/6K1 b - - 0 35,g5f6 d8d1 e3e1 d1e1,901,77,100,129,endgame mate mateIn2 short,https://lichess.org/nKcItDzR#69,,"(900, 1000]"
C5TDM,5k2/pR6/1p5R/1P6/3r1p2/4p2K/3r4/8 w - - 6 48,a4d4 h6h8,901,80,100,56,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/0f43FY1G/black#94,,"(900, 1000]"
CmN44,2rk4/4b1N1/p2n4/1p1Q2p1/3B1P2/8/PPPq4/1K1N2R1 b - - 0 30,f5d5 d2c2 b1a1 c2c1,901,75,100,1212,master mate mateIn2 middlegame queensideAttack short,https://lichess.org/amAFDUTN#59,,"(900, 1000]"
DYGrg,r4n1k/p1pqbQpp/1p1pNr2/3Pp3/1P2R3/P1P4P/3B1PP1/R5K1 w - - 6 25,h6f6 f7g7,901,95,100,33,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/lIwRZd8J/black#48,,"(900, 1000]"
EgZNx,8/5Qpk/4p3/3n3p/8/P3BN2/4qPPP/6K1 b - - 4 26,e1f3 e2d1 f3e1 d1e1,901,76,100,281,endgame mate mateIn2 short,https://lichess.org/jFHAxTCb#51,,"(900, 1000]"
FJQAS,7k/5pbp/1q6/pp1r4/4Q3/1P2P1P1/P4P1P/6K1 w - - 0 33,d8d5 e4e8 g7f8 e8f8,901,82,100,40,endgame mate mateIn2 short,https://lichess.org/UzwS25no/black#64,,"(900, 1000]"
HO3nt,1r6/2R2p1p/p2pkp2/1r2p3/4PP2/2K3P1/1P5P/7R w - - 3 25,a5b5 f4f5,901,75,100,481,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/NNNNrCQ0/black#48,,"(900, 1000]"
HPbzi,8/5ppk/1p4p1/p7/8/1rr2nR1/5PKP/3R4 w - - 4 51,c4c3 g3h3 f3h4 h3h4 h7g8 d1d8,901,76,100,273,endgame long mate mateIn3,https://lichess.org/mpXShXnA/black#100,,"(900, 1000]"
03DWn,rn2k2r/pNb3p1/2pqpp1p/8/3P4/2P4P/PP2BRP1/R2Q2K1 b kq - 0 17,c5b7 d6h2 g1f1 h2h1,902,101,100,26,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/xR7F5LTf#33,Zukertort_Opening Zukertort_Opening_Wade_Defense,"(900, 1000]"
0BaO8,4r3/1p3p1k/p1b1q1pp/P2pNN2/1b1PnQP1/3p3P/1P3P1B/6RK w - - 10 38,g7h7 f4h6 h7g8 h6g7,902,76,100,345,mate mateIn2 middlegame short,https://lichess.org/1uw8cFXx/black#74,,"(900, 1000]"
0Np2h,r1b3k1/p1q2p2/1pn3r1/7Q/8/1NPp4/P1P2PPP/R3R1K1 w - - 0 22,e4d3 e1e8 g8g7 h5h8,902,75,100,761,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/L0fTxUJ0/black#42,,"(900, 1000]"
0Z4j1,rn2k2r/pp1b1ppp/1q6/1B1PP3/Q1p3n1/2N2N2/PPP3PP/R1B2K1R b kq - 1 13,g1f1 b6f2,902,79,100,171,mate mateIn1 oneMove opening,https://lichess.org/If7LUG3e#25,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit,"(900, 1000]"
0mVBM,5rk1/1p2Bp2/p5r1/2p5/P1Qb4/1P1P4/6P1/5R1K b - - 8 29,h4e7 g6h6 e7h4 h6h4,902,76,100,136,endgame mate mateIn2 short,https://lichess.org/kBSmzcny#57,,"(900, 1000]"
1BcEh,r4rk1/ppp2ppp/1b2b1q1/3P4/2Qn1B1P/2N2P2/PPP3P1/2KR1B1R b - - 1 16,e2c4 g6c2,902,76,100,891,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/cfDeu5C9#31,Scotch_Game Scotch_Game_Potter_Variation,"(900, 1000]"
1EzCd,4rn1r/1pB1k3/pNb1pp1p/2p4P/3p4/1P1P4/P1PKPP2/6RR w - - 0 24,d7c6 g1g7,902,75,100,172,mate mateIn1 middlegame oneMove,https://lichess.org/qdOLTk2x/black#46,,"(900, 1000]"
1IDcC,r3r3/pp3pk1/2p3p1/3pP1P1/1qn4P/1PN3Q1/P1P5/2KRR3 b - - 0 21,b2b3 b4a3 c1b1 a3b2,902,76,100,441,mate mateIn2 middlegame queensideAttack short,https://lichess.org/Ox1iPd18#41,,"(900, 1000]"
1QyqV,8/4R1pp/1q1k1b2/5Q2/P2p4/8/2P2PPP/6K1 b - - 0 42,e1e7 b6b1 e7e1 b1e1,902,78,100,148,endgame mate mateIn2 short,https://lichess.org/5ip8YSs1#83,,"(900, 1000]"
1dmi4,r3k1Br/1bpp2pp/1bn5/1p1Qp1q1/pP2P3/2PP4/P2N1PPP/R3K2R w KQkq - 0 14,e7g5 d5f7 e8d8 f7f8,902,75,100,324,mate mateIn2 middlegame short,https://lichess.org/IbJaueb9/black#26,Italian_Game Italian_Game_Classical_Variation,"(900, 1000]"
1i7t2,8/3N1pk1/4p1p1/KP1nP2p/1PQ2P1P/6P1/8/4q3 b - - 8 59,a4a5 e1a1 c4a2 a1a2,902,78,100,146,anastasiaMate endgame mate mateIn2 short,https://lichess.org/EqaQudiu#117,,"(900, 1000]"
25wFW,r1bq3k/2p3p1/p1n1prQ1/1p3pN1/3P4/2PB4/PP3PP1/R3K3 w Q - 0 18,g8h8 g6h7,902,75,100,96,mate mateIn1 middlegame oneMove,https://lichess.org/6iYgrl1g/black#34,French_Defense French_Defense_Classical_Variation,"(900, 1000]"
2gcg4,2r3k1/pp3ppp/4p3/q2p4/2rPnPQ1/4P3/PP2NPBP/2R3RK b - - 0 19,f3g4 e4f2,902,83,100,54,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/QHx8dKrf#37,,"(900, 1000]"
3AMpL,rn3rk1/ppp1bpB1/8/7Q/2q1p3/2N4b/PP4PP/R5K1 w - - 0 17,c8h3 h5h8,902,77,100,475,mate mateIn1 middlegame oneMove,https://lichess.org/NbwRqiyT/black#32,Zukertort_Opening Zukertort_Opening_Tennison_Gambit,"(900, 1000]"
3cmLH,8/2nk3p/4p1P1/pp1pR3/2pP2P1/P1P2r1r/1PN1RP2/4K3 b - - 0 35,h5g6 h3h1 e1d2 f3d3,902,78,100,428,endgame mate mateIn2 short,https://lichess.org/4S61T5Bl#69,,"(900, 1000]"
5AvTe,8/1rBk1p1p/1P2p3/p2pP3/K6Q/8/1r3PRP/1q6 w - - 8 35,c1b1 h4d8 d7c6 d8d6,902,76,100,139,endgame mate mateIn2 short,https://lichess.org/DtkMNKGF/black#68,,"(900, 1000]"
5egXi,r2k1b1r/pp1Ppppp/1qn5/8/4nBb1/1P3N2/P1P2PPP/RN1QKB1R b KQ - 0 9,b2b3 b6f2,902,80,100,73,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/oUJAD18o#17,Sicilian_Defense Sicilian_Defense_Modern_Variations,"(900, 1000]"
752nE,4rk2/p3br1p/2p1qp2/2np4/8/1BN1Q1R1/PPP2PPP/6K1 w - - 0 22,d7e6 e3h6 f7g7 h6g7,902,75,100,160,mate mateIn2 middlegame short,https://lichess.org/Dxd6KIo5/black#42,,"(900, 1000]"
7AoXf,8/1k3pp1/1p6/2p1pP2/4Pb2/3P3q/2P2B2/R4QKN b - - 0 34,g3h1 h3h2,902,78,100,331,endgame mate mateIn1 oneMove,https://lichess.org/lRIYHmCE#67,,"(900, 1000]"
7L5G5,6k1/pppR4/3b4/7R/r7/2P2N1P/5PP1/6K1 b - - 0 35,h7h5 a4a1 f3e1 a1e1,902,123,100,12,endgame mate mateIn2 short,https://lichess.org/C1PVxwdL#69,,"(900, 1000]"
7LVR3,r3r1k1/ppq2p1p/2pp1p1B/5b2/P1B2Pn1/7P/1PP1Q1P1/R3R1K1 w - - 1 19,e5g4 e2e8 a8e8 e1e8,902,76,100,177,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/26bon1wC/black#36,Philidor_Defense Philidor_Defense_Lion_Variation,"(900, 1000]"
7RLHd,r1b2rk1/1pqp2bp/p3ppp1/2P1n3/1P2P1n1/1BN2N2/P1PB1PPP/1R1Q1RK1 b - - 2 13,c4b3 e5f3 g2f3 c7h2,902,76,100,471,discoveredAttack kingsideAttack mate mateIn2 opening short,https://lichess.org/xD9y9qYE#25,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon,"(900, 1000]"
7bY8Z,8/3Q1pkp/P3p1p1/3p4/5P2/5qPK/6B1/8 b - - 9 55,f1g2 f3h5,902,75,100,399,endgame mate mateIn1 oneMove,https://lichess.org/RcacfaMo#109,,"(900, 1000]"
8fBFk,r4rk1/2p3pp/1p1pN3/p2b1p2/4q3/1P4P1/PQ2PP1P/3RR1K1 w - - 0 21,b7d5 b2g7,902,79,100,430,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/1sQ0S94C/black#40,,"(900, 1000]"
8kS72,1k2r3/ppp4r/6p1/nP6/6p1/q1N5/5PPP/3RRNK1 w - - 0 27,h8e8 e1e8,902,127,100,26,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/ucQWDZeE/black#52,,"(900, 1000]"
9Ooe2,2bqrk2/2r3pQ/p2bp1P1/3p2p1/3P1P2/2PB2R1/1P6/5KR1 w - - 5 32,g8f8 h7h8 f8e7 h8g7,902,75,100,590,deflection interference mate mateIn2 middlegame short,https://lichess.org/sdxT2k3U/black#62,,"(900, 1000]"
9QvzM,3R4/1q2k1p1/1P2pp2/7Q/p3rP2/8/5P1P/6K1 w - - 4 40,f7e7 h5e8,902,76,100,173,endgame mate mateIn1 oneMove,https://lichess.org/CSZIzStP/black#78,,"(900, 1000]"
9qHLY,rkb4q/pp2b3/1n2pn2/1Q4pp/P2PB3/4P3/1P3PPP/R3K2R w KQ - 1 20,g8f6 b5e5 e7d6 e5d6,902,78,100,1696,mate mateIn2 middlegame queensideAttack short,https://lichess.org/KdL6nBD4/black#38,Horwitz_Defense Horwitz_Defense_Other_variations,"(900, 1000]"
ASXqS,8/p7/3p3p/3Pkpp1/P7/1P1RKPPP/1r6/8 b - - 0 33,f2f3 f5f4 g3f4 g5f4,902,80,100,141,endgame mate mateIn2 rookEndgame short,https://lichess.org/9MW9bgUD#65,,"(900, 1000]"
CyT8p,3r2k1/p4ppp/1p6/3P4/5Q2/1P4P1/P3q2P/5RK1 w - - 1 26,f8d8 f4f7 g8h8 f7f8 d8f8 f1f8,902,101,100,27,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/z6Z2EHDZ/black#50,,"(900, 1000]"
DB4oW,r1k3r1/ppp3qp/3b4/5p2/Q2p2N1/2P5/PP3PPP/R3R1K1 w - - 0 19,h6g7 e1e8 g8e8 a4e8,902,77,100,561,mate mateIn2 middlegame queensideAttack short,https://lichess.org/4Noatv3t/black#36,Italian_Game Italian_Game_Classical_Variation,"(900, 1000]"
DgyhB,7k/1q4p1/pp3b1B/2pr1Q2/P7/1PP2b2/5P1P/4R1K1 w - - 1 29,d8d5 e1e8,902,79,100,647,mate mateIn1 middlegame oneMove,https://lichess.org/fJ61uVFV/black#56,,"(900, 1000]"
E7FbM,r1b2rk1/p1q2ppp/2p2b2/1pn1p1N1/4P2Q/1BNP4/PPP3PP/R1B3K1 w - - 0 15,e7f6 h4h7,902,76,100,110,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kfnDaxDd/black#28,Vienna_Game Vienna_Game_Other_variations,"(900, 1000]"
EN7ue,6k1/1p2np1p/1q2p1p1/p3P3/b2pNPP1/P1r1r3/3N2BP/KR3Q1R b - - 13 27,b2a1 c3a3,902,76,100,153,mate mateIn1 middlegame oneMove,https://lichess.org/WDtgrKbT#53,,"(900, 1000]"
EQTVC,2P5/7p/3Q2nk/8/2P3P1/P1r5/4r3/6K1 b - - 0 61,c7c8q c3c1 d6d1 c1d1,902,78,100,2177,endgame mate mateIn2 short,https://lichess.org/HURGqoqf#121,,"(900, 1000]"
FEnrV,r1b1r1k1/pppp1ppp/8/3n2q1/3b4/P2P1B2/1PP2PPP/R2QR1K1 w - - 0 15,f6d5 e1e8,902,77,100,90,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/yMALb7Sd/black#28,Russian_Game Russian_Game_Other_variations,"(900, 1000]"
Foei5,r4k1r/ppQ2ppp/4p3/8/8/7P/PP1RKPq1/8 w - - 0 20,h1g2 d2d8 a8d8 c7d8,902,78,100,77,endgame mate mateIn2 short,https://lichess.org/YJYpkhaC/black#38,,"(900, 1000]"
HOWMA,2k1r3/5ppp/1p6/1qb5/8/4P3/1P4PP/RR1QN1K1 b - - 0 24,c1d1 c5e3 g1h1 b5f1,902,76,100,366,mate mateIn2 middlegame short,https://lichess.org/2U2Tz6xd#47,,"(900, 1000]"
HWjjN,2kr3r/pp3pp1/2p5/5q2/2PpR3/3P2Pp/PP1B1P1K/R2Q4 b - - 0 20,g2g3 f5f2 h2h1 f2g2,902,76,100,1209,mate mateIn2 middlegame short,https://lichess.org/Bq4PWQ0V#39,,"(900, 1000]"
IiL0I,7r/pp2pkbp/5pp1/3N4/3n4/3b3P/PP1B1PP1/3RK1NR b K - 1 16,c7d5 d4c2,902,76,100,386,mate mateIn1 middlegame oneMove,https://lichess.org/wyqpGWBO#31,Pirc_Defense Pirc_Defense_Byrne_Variation,"(900, 1000]"
0dNdD,r4k2/pb2qPbQ/1p1p4/2pP4/5R2/1N6/PP2r1PP/R5K1 w - - 0 23,e3e2 h7g8,903,76,100,79,mate mateIn1 middlegame oneMove,https://lichess.org/qoSMy0sd/black#44,,"(900, 1000]"
1Eg1R,5rk1/rpp2pp1/1p6/4pN2/3p4/1P6/P1PP1n2/1K1R3R w - - 1 25,h3f2 f5e7,903,75,100,794,endgame mate mateIn1 oneMove,https://lichess.org/O7KmtduW/black#48,,"(900, 1000]"
1fn4L,5r2/4pp2/3p1k2/p1rP2R1/1p1R2pP/8/PPP3P1/1K6 w - - 3 33,g6f6 d4f4,903,75,100,415,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/RMbcDGMM/black#64,,"(900, 1000]"
1zSCh,5rk1/p4p2/6rp/6n1/3P1B1P/4P2b/PQ3PBP/2R2RK1 b - - 0 26,g3h4 g5f3 g1h1 h3g2,903,77,100,96,kingsideAttack mate mateIn2 middlegame pin short,https://lichess.org/g7Ke2Y09#51,,"(900, 1000]"
2DAXC,8/5kpp/R4p2/P7/6PK/r6P/8/8 b - - 4 43,g3h4 g7g5 h4h5 a3h3,903,76,100,1200,deflection endgame mate mateIn2 rookEndgame short,https://lichess.org/GCq5drDC#85,,"(900, 1000]"
2HMoo,8/8/4R3/4p2p/7k/5P2/r2p2PP/2R2K2 b - - 0 55,d1c1 d2c1q,903,78,100,108,advancedPawn endgame mate mateIn1 oneMove promotion,https://lichess.org/SxyJM0vq#109,,"(900, 1000]"
2VPOz,4kr2/1P2b1pQ/1qppb3/1p6/7N/2N5/PPP3PP/R1B2R1K b - - 0 18,f3h4 f8f1,903,75,100,552,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/IWU0a5z6#35,Rat_Defense Rat_Defense_Harmonist,"(900, 1000]"
2Zu46,r6r/ppR3pp/3kb3/7Q/8/3p4/Pq3PPP/5RK1 w - - 1 18,e7d6 h5c5,903,81,100,57,mate mateIn1 middlegame oneMove,https://lichess.org/5dH9d6Tr/black#34,Four_Knights_Game Four_Knights_Game_Italian_Variation,"(900, 1000]"
4EZ5l,8/3r1pk1/p1q2b1p/R4Qp1/2P5/1P2B1PP/P4P2/6K1 b - - 0 27,h2h3 d7d1 g1h2 c6h1,903,85,100,39,endgame mate mateIn2 short,https://lichess.org/NxeMAjaC#53,,"(900, 1000]"
4K9z0,8/ppR3pk/7p/3P1pbq/1P2p3/P3P3/5PQ1/5K2 b - - 8 33,c1c7 h5d1,903,77,100,408,endgame mate mateIn1 oneMove,https://lichess.org/fiAQEpgt#65,,"(900, 1000]"
82FV5,r3nrk1/6p1/4p1P1/p1p1p3/P1bp3Q/R7/1PP3PP/7K w - - 0 26,f6e5 h4h7,903,78,100,330,endgame mate mateIn1 oneMove,https://lichess.org/Tx6T2PtV/black#50,,"(900, 1000]"
88nSI,5rk1/p7/3Qb1p1/4p2p/8/1q4P1/1B6/K2R3R b - - 1 35,a2a1 b3a2,903,77,100,625,master mate mateIn1 middlegame oneMove,https://lichess.org/bmDYyaZG#69,,"(900, 1000]"
8YW36,r2r2k1/pp3p1p/4N1p1/8/8/P1Q2P2/qPK3PP/7R w - - 0 26,c8d8 c3g7,903,76,100,118,endgame mate mateIn1 oneMove,https://lichess.org/uMFQHFOp/black#50,,"(900, 1000]"
8qiDH,6k1/p5r1/1p6/2ppPQ2/5R2/P3q2P/6PK/8 b - - 1 34,g1h2 e3g3 h2g1 g3g2,903,76,100,245,endgame mate mateIn2 short,https://lichess.org/DVfaLlU2#67,,"(900, 1000]"
AJLXC,rn1q1rk1/ppp4p/3b4/3PpQ2/8/2NB4/PPP3PP/R1B3K1 w - - 1 16,e8f8 f5h7,903,77,100,114,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/OutNV8PG/black#30,Kings_Gambit_Declined Kings_Gambit_Declined_Falkbeer_Countergambit,"(900, 1000]"
ANnZt,1R6/5ppk/7p/5PPP/8/p4K2/1pr5/8 w - - 0 44,a4a3 g5g6 f7g6 f5g6,903,79,100,64,endgame mate mateIn2 rookEndgame short,https://lichess.org/Umpe9fGw/black#86,,"(900, 1000]"
ArcQw,8/6p1/8/pB5p/P3p1kP/6P1/6K1/2n5 w - - 6 45,d3c1 b5d7,903,76,100,314,endgame mate mateIn1 oneMove,https://lichess.org/SRLPAJiE/black#88,,"(900, 1000]"
BWkJw,8/p1R5/5pk1/3qr1p1/8/7Q/PP6/1K1N1r2 w - - 2 54,h6g6 h3h7,903,77,100,383,endgame mate mateIn1 oneMove,https://lichess.org/fQYTp0CH/black#106,,"(900, 1000]"
Bq6yc,2kr3r/ppp2ppp/3bb3/4q3/Q7/2P1B2P/PP2BPP1/RN2R1K1 b - - 0 14,c1e3 e5h2 g1f1 h2h1,903,94,100,37,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/RVejwhWn#27,Kings_Knight_Opening Kings_Knight_Opening_Normal_Variation,"(900, 1000]"
CFLLo,5r2/pb5k/1p3p1P/2qp4/2r2PQ1/1K6/PPN5/R7 w - - 2 35,g6h7 g4g7,903,75,100,192,mate mateIn1 middlegame oneMove,https://lichess.org/MD5kfem1/black#68,,"(900, 1000]"
CT2MT,5rk1/pp1b3p/2pbpn1q/3p1pP1/2PP4/1P2PB2/PB1Q1NPP/5RK1 b - - 0 21,f4g5 h6h2,903,76,100,418,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/eJh8vN6M#41,,"(900, 1000]"
0XAE7,1Q6/5ppk/3Qp2p/3p1q2/8/2P5/r4RPP/2R3K1 b - - 0 31,f1f2 f5f2 g1h1 f2g2,1001,78,100,108,endgame mate mateIn2 short,https://lichess.org/6Vc9LAco#61,,"(1000, 1100]"
