PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D
5wF8B,7k/5ppp/3p4/8/P3r3/2R3P1/1P6/1KN3r1 w - - 4 40,e1e4 c3c8 e4e8 c8e8,406,92,100,132,backRankMate endgame mate mateIn2 short,https://lichess.org/JybIzdIJ/black#78,,"(400, 500]",c3c8,b1a2,b2b3,c3c6,c3c8
9s2FU,4r1k1/pp3ppp/8/8/3P4/1B3P1P/PP4q1/1K2R3 w - - 0 33,c8e8 e1e8,406,103,100,372,endgame mate mateIn1 oneMove,https://lichess.org/OuT5G7mC/black#64,,"(400, 500]",e1e8,e1e7,e1e3,b3d1,e1e8
Alf9N,2kq4/5p2/7b/pN2Q3/4P3/8/PPP5/1K6 b - - 2 29,c1b1 d8d1,406,88,100,179,endgame mate mateIn1 oneMove,https://lichess.org/cH1wRR3x#57,,"(400, 500]",d8d1,d8d1,h6d2,d8d2,d8d3
BarWi,6k1/6p1/p2qpp1p/8/1PQ5/4P2P/P4PP1/5K2 b - - 0 30,e4c4 d6d1,406,95,100,243,endgame mate mateIn1 oneMove queenEndgame,https://lichess.org/xOdjV5Tv#59,,"(400, 500]",d6d1,d6f8,a6a5,d6c5,d6d1
CCTGI,3r1rk1/4bppp/2Q1p3/8/B7/4B3/PPP2PPP/2KRq3 b - - 2 22,d7d1 e1d1,406,89,100,330,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/vlCGxhD2#43,,"(400, 500]",e1d1,d8d2,d8d1,e7b4,d8a8
G0YfV,5r2/1R6/2p5/p4r1k/6pp/4Q3/P1P3PP/6K1 b - - 3 37,b1b7 f5f1,406,92,100,176,endgame mate mateIn1 oneMove queenRookEndgame,https://lichess.org/SeOn7GZs#73,,"(400, 500]",f5f1,f8b8,f5f1,g4g3,a5a4
IbOZr,6k1/r4ppp/3R4/8/n3p3/2p1P3/4BPPP/6K1 w - - 0 27,a8a7 d6d8,406,92,100,131,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/qExRFWS2/black#52,,"(400, 500]",d6d8,d6d8,e2d1,e2d3,d6d3
0LFlL,6k1/1R3Rp1/3N3p/8/8/8/n1rr1PPP/5K2 b - - 3 30,b1b7 c2c1,407,85,100,444,endgame master mate mateIn1 oneMove,https://lichess.org/l6T1vcW1#59,,"(400, 500]",c2c1,c2c8,h6h5,a2b4,c2c1
208hY,1r5k/1p4pp/pNq1r3/8/1PN2R2/7P/P5P1/5R1K w - - 3 29,e8e6 f4f8 b8f8 f1f8,407,93,100,134,backRankMate mate mateIn2 middlegame short,https://lichess.org/uOVS9k2N/black#56,,"(400, 500]",f4f8,f1f3,h1h2,f4f8,f4f6
3JIKw,8/4RRp1/4p1kp/3pr3/8/8/6PP/7K b - - 1 37,f1f7 e5e1 f7f1 e1f1,407,91,100,230,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/fFhNjwfX#73,,"(400, 500]",e5e1,e5e3,g6h7,e5e2,e5e1
3wuOS,4r1k1/p3rppp/2p5/3p4/1P1P4/Q1NR2Pb/P4P1P/1R4K1 b - - 0 23,d1d3 e7e1 b1e1 e8e1,407,95,100,257,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/EL6czMPZ#45,,"(400, 500]",e7e1,h3g2,e7e1,h7h6,h3f1
4oxVB,r5k1/7p/6p1/4Pp2/2Pp1P2/8/1R4PP/7K b - - 0 34,b1b2 a8a1 b2b1 a1b1,407,89,100,134,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/vkIUcYk9#67,,"(400, 500]",a8a1,a8a3,a8f8,a8a1,a8a5
5d2nI,6k1/ppNR4/4R3/8/3P4/7B/PPP2rPP/1K6 b - - 3 38,h7d7 f2f1 e6e1 f1e1,407,93,100,396,backRankMate endgame mate mateIn2 short,https://lichess.org/1k3boRT2#75,,"(400, 500]",f2f1,a7a5,f2f8,f2f1,f2f4
7GEy2,1r4k1/5ppp/8/8/8/2bN3P/6P1/1R5K w - - 0 42,e8b8 b1b8,407,90,100,91,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/exKWZIIN/black#82,,"(400, 500]",b1b8,d3f2,g2g4,b1b8,h3h4
AnBAU,5R2/7p/2p1p1p1/2P5/1P2P2k/8/5PPP/q2Q1K2 b - - 2 30,d2d1 a1d1,407,91,100,122,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/BB3bTs9O#59,,"(400, 500]",a1d1,a1d1,g6g5,a1e5,a1a4
BH9z5,8/pk3pB1/2p1b2p/Qpp3p1/4P1P1/P1Pq3P/1P6/K2R4 b - - 0 32,h1d1 d3d1,407,92,100,326,endgame mate mateIn1 oneMove,https://lichess.org/D9gBVK4N#63,,"(400, 500]",d3d1,d3d1,e6c8,d3c4,d3e2
E20Be,8/p1R4p/1p2p3/8/5P2/3Bk3/rPP4N/2K5 b - - 0 36,f3h2 a2a1,407,89,100,253,endgame mate mateIn1 oneMove,https://lichess.org/U4I3VTyr#71,,"(400, 500]",a2a1,a2a3,a2a1,a7a5,a2a5
FNs5l,3q1r1k/1p1b2pp/1p4p1/4r3/2p1P3/2P3PP/P4RB1/5RK1 w - - 0 27,e8f8 f2f8 d8f8 f1f8,407,92,100,91,backRankMate fork mate mateIn2 middlegame short,https://lichess.org/NCGSwf5B/black#52,,"(400, 500]",f2f8,f2f8,f1c1,a2a4,f2c2
GVe3b,3r4/2P2Qbk/p5p1/Np3p2/1P3P2/P5pP/6P1/6K1 b - - 0 36,h1g1 d8d1,407,90,100,112,endgame mate mateIn1 oneMove,https://lichess.org/eZ756xic#71,,"(400, 500]",d8d1,d8d1,d8b8,d8f8,d8d6
1ZN4d,2k2r2/pbpp4/1p6/n6p/3P3P/1N4q1/1PP3B1/R4RK1 w - - 0 23,h8f8 f1f8,408,94,100,544,mate mateIn1 middlegame oneMove,https://lichess.org/9pyJDXYf/black#44,,"(400, 500]",f1f8,f1d1,a1a3,f1f8,a1b1
3aJyf,6k1/R2p1ppp/2p5/3pP3/8/4P2P/1rP1K1P1/8 w - - 0 23,b8b2 a7a8 b2b8 a8b8,408,88,100,284,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/xNVzOB3x/black#44,,"(400, 500]",a7a8,h3h4,a7a8,a7a3,g2g3
3anpv,1rb3k1/5ppp/p4b2/1p1q4/8/5N2/PP3PPP/R3Q1K1 w - - 0 19,d8d5 e1e8,408,92,100,311,mate mateIn1 middlegame oneMove,https://lichess.org/uE8XmpUD/black#36,Slav_Defense Slav_Defense_Exchange_Variation,"(400, 500]",e1e8,a2a3,e1a5,e1e8,b2b4
7oOkx,5k2/6r1/2R1K3/8/8/8/8/8 w - - 22 70,f7g7 c6c8,408,90,100,398,endgame master masterVsMaster mate mateIn1 oneMove rookEndgame,https://lichess.org/oy5ygsxx/black#138,,"(400, 500]",c6c8,c6c8,c6c4,c6c5,e6d6
8ggI5,6k1/p4ppp/4p3/1NRp4/Pr6/3P4/5PPP/7K b - - 0 29,c1c5 b4b1 c5c1 b1c1,408,91,100,177,backRankMate endgame mate mateIn2 short,https://lichess.org/JMtuHUVf#57,,"(400, 500]",b4b1,a7a6,b4b1,b4f4,b4b2
9LAC3,2b4k/p4rpp/7q/8/2Qp4/4P2P/1P4P1/6K1 w - - 0 30,b7c8 c4c8 f7f8 c8f8,408,89,100,279,endgame mate mateIn2 short,https://lichess.org/UGNTvlA8/black#58,,"(400, 500]",c4c8,g1h1,c4c5,c4c8,c4a6
CAzIy,4n1k1/6p1/6P1/1p1p4/p2r4/6B1/5PP1/4R1K1 w - - 0 32,f6e8 e1e8,408,87,100,91,endgame mate mateIn1 oneMove,https://lichess.org/hpKS64fq/black#62,,"(400, 500]",e1e8,e1e8,e1e5,e1c1,g3f4
D6Dez,8/5R1p/4p3/4P1P1/8/3r2kP/P7/7K b - - 0 38,a7f7 d3d1 f7f1 d1f1,408,95,100,132,endgame mate mateIn2 rookEndgame short,https://lichess.org/RjvFBQPe#75,,"(400, 500]",d3d1,d3d5,d3d2,d3d6,d3d1
EtQXv,3r3k/1pp4p/p5pB/8/2n1P3/2P3bP/PP4P1/3R2K1 w - - 0 31,a8d8 d1d8,408,89,100,347,endgame mate mateIn1 oneMove,https://lichess.org/uuADT2Me/black#60,,"(400, 500]",d1d8,d1b1,g1h1,d1d8,d1d5
GM35r,6k1/p4p1p/p2r1Pp1/8/8/P4P2/5PKP/2R5 w - - 0 28,d8d6 c1c8 d6d8 c8d8,408,95,100,666,endgame mate mateIn2 rookEndgame short,https://lichess.org/KJaOmu9L/black#54,,"(400, 500]",c1c8,c1c6,c1c8,a3a4,c1d1
Gs5Mo,r4k1r/ppp1bBpp/4Q3/8/3q4/8/P4PPP/4R1K1 w - - 0 19,f6e7 e6e7,408,97,100,84,mate mateIn1 middlegame oneMove,https://lichess.org/82Whf5pC/black#36,Italian_Game Italian_Game_Giuoco_Piano,"(400, 500]",e6e7,e1f1,a2a3,e6e7,e6d7
HRy0O,2kr3r/ppp1R1pp/8/8/8/8/P4PPP/R1B3K1 b - - 0 18,e6e7 d8d1 e7e1 d1e1,408,92,100,133,backRankMate endgame mate mateIn2 short,https://lichess.org/fBXaF3Hv#35,Ponziani_Opening Ponziani_Opening_Jaenisch_Counterattack,"(400, 500]",d8d1,d8d7,c8b8,d8d1,d8d2
IJlm8,3r1rk1/1b1q3p/p4pp1/4p3/P1N4R/1PP3Q1/5PPP/R5K1 b - - 4 33,g4h4 d7d1 a1d1 d8d1,408,96,100,345,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/JQKIXudK#65,,"(400, 500]",d7d1,d7e6,d7b5,d7e7,d7d1
1FyNs,R7/8/P4Kpk/7p/5p1P/r4P2/8/8 w - - 2 52,a4a3 a8h8,409,92,100,131,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/nWOrLW48/black#102,,"(400, 500]",a8h8,a8a7,a8h8,a6a7,f6e5
2dvX0,4r3/3k3p/p5p1/R7/7b/5P2/PB4PP/5K2 b - - 6 36,g1f1 e8e1,409,103,100,429,endgame mate mateIn1 oneMove,https://lichess.org/ayFviQQk#71,,"(400, 500]",e8e1,e8e1,h7h5,e8e2,d7c7
4A9EF,r2r2k1/p1R5/1p3p2/5N1p/4P1p1/4Q3/P4PPP/6K1 b - - 0 31,c1c7 d8d1 e3e1 d1e1,409,95,100,183,backRankMate endgame mate mateIn2 short,https://lichess.org/9Wcewfg4#61,,"(400, 500]",d8d1,d8d1,g4g3,b6b5,d8d4
6nDde,2r5/1R4p1/1n2ppkp/8/4P3/8/P4PPP/2B3K1 b - - 0 30,f4c1 c8c1,409,96,100,64,backRankMate endgame mate mateIn1 oneMove,https://lichess.org/03F41fhF#59,,"(400, 500]",c8c1,c8h8,c8g8,c8c1,h6h5
0Nrse,5rk1/7p/p1p3p1/PbN1R3/1P6/8/6PP/6K1 b - - 0 32,b2b4 f8f1,410,92,100,99,endgame mate mateIn1 oneMove,https://lichess.org/1JntLwSJ#63,,"(400, 500]",f8f1,f8f2,f8a8,f8f1,f8f4
0UbPw,6k1/8/4p1p1/Q2p1p1p/2qP1P2/6P1/7P/2r1BR1K b - - 0 39,d2a5 c4f1,410,92,100,311,endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/o1dhngmM#77,,"(400, 500]",c4f1,e6e5,c4d3,c4f1,c1c3
2JDVd,8/1p4k1/p5pp/3b4/1P1PrP2/7N/P2R1P1P/6K1 b - - 4 28,d1d2 e4e1,410,92,100,371,endgame mate mateIn1 oneMove,https://lichess.org/vF368YLb#55,,"(400, 500]",e4e1,e4e1,e4e7,g7f7,e4e8
4EBW4,4r2k/p4Qp1/2p3Bp/2P5/8/2q3P1/P2p2KP/8 w - - 0 33,d8e8 f7e8,410,92,100,333,endgame mate mateIn1 oneMove,https://lichess.org/EQXnSscA/black#64,,"(400, 500]",f7e8,g6e4,f7c4,f7e8,h2h3
5P4Ec,r4rk1/1p4b1/p3P1Qp/8/8/2N5/PPP3PP/1K3R2 b - - 0 26,h1f1 f8f1 c3d1 f1d1,410,88,100,80,endgame mate mateIn2 short,https://lichess.org/nwud0DCk#51,,"(400, 500]",f8f1,f8f1,h6h5,f8f7,a8a7
7H9b2,R7/8/p4Kpk/6p1/6Pp/6r1/8/8 w - - 2 43,h3g3 a8h8,410,92,100,412,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/jZOgYShP/black#84,,"(400, 500]",a8h8,f6f7,a8a6,f6e7,a8h8
7aAZf,2r3k1/1b2nppp/pQ2p3/4P3/P5B1/6B1/5PPP/2R3K1 b - - 0 26,a1c1 c8c1 g4d1 c1d1,410,90,100,230,mate mateIn2 middlegame short,https://lichess.org/v4O2uHhk#51,,"(400, 500]",c8c1,c8e8,f7f6,e7g6,c8c1
Cjx3s,4R1rk/5Qpp/3p1p2/p4P2/4P3/6qP/P7/5K2 w - - 0 39,e3g3 f7g8,410,103,100,237,endgame mate mateIn1 oneMove,https://lichess.org/pIuIvUDG/black#76,,"(400, 500]",f7g8,f7g7,e8g8,f1e2,e8e7
0O2kH,2r3k1/ppp2ppp/5r2/8/1P6/P2R2P1/6PP/3R2K1 w - - 3 31,f8c8 d3d8 c8d8 d1d8,411,88,100,93,backRankMate endgame mate mateIn2 rookEndgame short,https://lichess.org/9tyUW6pi/black#60,,"(400, 500]",d3d8,d3d7,d3d8,d3f3,d1b1
0Yuvb,r3r1k1/pp1b1p2/2n3pQ/2p5/8/P1NP1PPp/BPP2R1P/R1B4K b - - 0 20,f1f2 e8e1 f2f1 e1f1,411,88,100,222,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/7NIvQd4A#39,,"(400, 500]",e8e1,d7c8,e8e2,c6e7,e8e1
2k9kO,2r2rk1/1b3ppp/p2p4/1pbPq3/8/P2Q4/2B2PPP/RN3RK1 w - - 0 21,f6e5 d3h7,411,91,100,191,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/j0N9thCu/black#40,,"(400, 500]",d3h7,d3g3,d3g6,d3f3,d3h7
5loZ6,R7/5pk1/3b2r1/8/P7/2P5/1P3R1p/7K b - - 0 36,f1f2 g6g1,411,87,100,348,endgame master mate mateIn1 oneMove,https://lichess.org/OBzCYsB4#71,,"(400, 500]",g6g1,g6g3,d6b8,g6g1,g6g4
6FXGj,4q2k/6pp/r7/8/Q7/1P2B2P/5PPK/3r4 w - - 0 36,a8e8 a4e8,411,89,100,163,backRankMate endgame hangingPiece mate mateIn1 oneMove,https://lichess.org/TVQPuJa6/black#70,,"(400, 500]",a4e8,a4e8,e3c5,f2f4,b3b4
6mx3m,8/pp4R1/2p2P1p/8/1PP3P1/P3r1kP/8/6K1 b - - 0 36,f5f6 e3e1,411,90,100,66,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/RtBwSUav#71,,"(400, 500]",e3e1,a7a5,e3e1,e3e7,e3e5
