PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D,GPT_BestMove
3MrfM,2B5/2RQ2bk/3p2pp/4p3/8/5r1P/4nPPK/1q6 w - - 0 33,f6f3 d7g7,901.0,82.0,100.0,169.0,mate mateIn1 middlegame oneMove,https://lichess.org/Da0F55kF/black#64,,"(900, 1000]",d7g7,d7f5,d7g7,d7b5,c7c3,d7f5
3NtYv,r2q2kr/pp3p2/2pp1p1Q/2b1pN2/4P3/1bPPN3/1P3PPP/2K3RR w - - 1 18,h7g8 h6g7,901.0,87.0,100.0,47.0,mate mateIn1 middlegame oneMove,https://lichess.org/e90ocZcw/black#34,Four_Knights_Game Four_Knights_Game_Other_variations,"(900, 1000]",h6g7,g2g4,h6g5,h6g7,d3d4,h6g7
3ef9I,2kr3r/2pqnp1p/p2b1p1B/1p1Q4/6b1/1B3N2/PPP2PPP/R3R1K1 w - - 6 17,e8c8 d5a8,901.0,75.0,100.0,131.0,mate mateIn1 middlegame oneMove,https://lichess.org/aTTCYMsv/black#32,Scandinavian_Defense Scandinavian_Defense_Valencian_Variation,"(900, 1000]",d5a8,h6e3,h6d2,d5a8,e1e7,d5a8
3rrZs,3r1rk1/2Q2pp1/p6p/8/8/1P3B1n/P5PP/2R3RK b - - 0 27,e1g1 h3f2,901.0,76.0,100.0,106.0,mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/N4UJWi2L#53,,"(900, 1000]",h3f2,h3g1,a6a5,h3f2,d8d4,h3f2
3xsub,5rk1/p1p2qp1/2pbp2p/3p3n/4p2Q/1PN1P2P/PBPPN1P1/5RK1 b - - 1 19,a1f1 f7f1,901.0,76.0,100.0,205.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/3G3OOOSH#37,,"(900, 1000]",f7f1,f7f1,f7e8,f7e7,f8b8,f7e7
49d2G,1k1r4/ppp2pp1/2p5/2P1P3/5B2/N1P2bPK/PP3P2/4R3 b - - 2 26,a1e1 d8h8 f4h6 h8h6,901.0,76.0,100.0,144.0,endgame mate mateIn2 short,https://lichess.org/f0fW4ndh#51,,"(900, 1000]",d8h8,d8d3,a7a6,d8c8,d8h8,d8d3
4i5az,rnb2q1r/ppp1b1kp/5n2/3BQ3/3pP3/8/PPP2PPP/RNB1K2R w KQ - 5 10,g8f6 e5g5,901.0,79.0,100.0,103.0,mate mateIn1 oneMove opening,https://lichess.org/dALr8E5i/black#18,Zukertort_Opening Zukertort_Opening_Herrstrom_Gambit,"(900, 1000]",e5g5,e5g5,e1g1,e5f6,c1d2,e5f6
4t8u6,r2q1rk1/1p1n2p1/pbp1p1P1/6p1/4P2Q/2N4P/PPP3B1/R4R1K w - - 0 20,f6g5 h4h7,901.0,77.0,100.0,1040.0,master mate mateIn1 middlegame oneMove,https://lichess.org/f41vUUk0/black#38,Bird_Opening Bird_Opening_Dutch_Variation,"(900, 1000]",h4h7,f1f2,f1g1,h4h7,h4g4,h4h7
4tTU3,5r1k/6p1/7p/3q4/7P/P1P3P1/1PQ1RP2/5K2 b - - 2 42,g2f1 d5h1,901.0,76.0,100.0,745.0,endgame mate mateIn1 oneMove,https://lichess.org/hSU3e3gn#83,,"(900, 1000]",d5h1,d5b5,d5h1,f8g8,f8f4,d5h1
58jqF,r5k1/ppp2p2/5Qp1/3p2q1/3pb3/P6P/1PP3P1/R4R1K b - - 0 28,f2f6 g5g2,901.0,75.0,100.0,142.0,endgame kingsideAttack mate mateIn1 oneMove,https://lichess.org/Ggvnsb7K#55,,"(900, 1000]",g5g2,g5g2,b7b6,g5g4,g8h7,g5g2
5Bg50,r1b2rk1/pp1pbppp/1qn5/4P3/5Bn1/2N2N1P/PP3PP1/R2QKB1R b KQ - 0 11,h2h3 b6f2,901.0,75.0,100.0,337.0,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/988gg4n0#21,Sicilian_Defense Sicilian_Defense_Smith-Morra_Gambit_Declined,"(900, 1000]",b6f2,e7d6,c6a5,b6f2,g4h6,b6f2
5CxdY,r4rk1/pppR2np/5pbQ/8/5PP1/5RKP/4q3/8 w - - 5 34,e6g7 h6g7,901.0,76.0,100.0,84.0,mate mateIn1 middlegame oneMove,https://lichess.org/jj0mKXJr/black#66,,"(900, 1000]",h6g7,f3a3,f3f2,f4f5,h6g7,h6g7
8NfsG,4n1k1/pp1q2p1/5pQp/8/2pP3N/2P1r2P/PP3R1K/6R1 b - - 0 32,f3h4 d7h3,901.0,76.0,100.0,157.0,mate mateIn1 middlegame oneMove,https://lichess.org/k4FWmdgg#63,,"(900, 1000]",d7h3,e3f3,d7h3,d7c6,e3e5,d7h3
8RT6K,2r2rk1/1p1b1pn1/n2qp1N1/p2p2PQ/3P1P2/P1N1PR2/1P5P/R5K1 w - - 1 21,e8g7 h5h8,901.0,141.0,100.0,9.0,mate mateIn1 middlegame oneMove,https://lichess.org/1s8aPUkp/black#40,,"(900, 1000]",h5h8,a1f1,a1e1,c3e2,h5h8,h5h8
8Se5w,2r5/7k/1q2p1pp/2p1B3/p2p3Q/PP3r2/2P1nPPK/2R5 w - - 0 33,f8f3 h4e7 f3f7 e7f7,901.0,75.0,100.0,981.0,mate mateIn2 middlegame short,https://lichess.org/XboJlk57/black#64,,"(900, 1000]",h4e7,e5b8,c2c3,h4e7,h4g4,h4e7
9WsQp,8/5pk1/4p1p1/2p4p/4Q3/4P2P/3qBPP1/5K2 b - - 6 39,b7e4 d2c1 e2d1 c1d1,901.0,75.0,100.0,444.0,endgame mate mateIn2 short,https://lichess.org/ag3romL4#77,,"(900, 1000]",d2c1,d2a2,d2c1,h5h4,d2e3,d2e3
ABLzf,8/5Qbk/b5pp/3Bp3/4P2P/2P2N2/1r3qPK/8 w - - 1 33,g8h7 f7g8,901.0,77.0,100.0,524.0,mate mateIn1 middlegame oneMove,https://lichess.org/BvzZdppW/black#64,,"(900, 1000]",f7g8,d5a2,f7g8,f7e8,h2h1,f7e8
AVH1F,8/p4k1p/3br1p1/3Q1p2/3B3q/2P5/PP3PP1/4R1K1 b - - 4 31,a1e1 h4h2 g1f1 h2h1,901.0,77.0,100.0,498.0,endgame mate mateIn2 short,https://lichess.org/PH9jLjPD#61,,"(900, 1000]",h4h2,d6h2,h4f4,d6b8,h4h2,d6b8
AvLaK,3r4/1k1P2p1/1qNRB2p/4PP2/2p3P1/2Q5/1PPK2P1/r7 b - - 2 43,c1d2 b6f2,901.0,76.0,100.0,95.0,mate mateIn1 middlegame oneMove,https://lichess.org/LKhPEepJ#85,,"(900, 1000]",b6f2,b6c6,a1a2,b7a8,b6f2,b6f2
B2945,r4qQ1/pp2k2p/6p1/8/3p2B1/8/PP4PP/6K1 w - - 0 31,e8e7 g8e6 e7d8 e6d7,901.0,76.0,100.0,172.0,endgame mate mateIn2 short,https://lichess.org/H4ANE0dr/black#60,,"(900, 1000]",g8e6,g8e6,g8c4,g8h7,b2b3,g8e6
BKZqc,5R1R/6r1/4p1k1/3bPp2/3P1P1p/7r/3K2p1/8 w - - 0 46,g3g2 f8f6,901.0,75.0,100.0,443.0,endgame mate mateIn1 oneMove,https://lichess.org/BweKERUo/black#90,,"(900, 1000]",f8f6,h8g8,f8f6,f8b8,d2e1,f8f6
Bbj3A,3r4/4R2p/5Pk1/4b3/8/4Q3/P1P2PP1/6K1 b - - 0 35,g5f6 d8d1 e3e1 d1e1,901.0,77.0,100.0,129.0,endgame mate mateIn2 short,https://lichess.org/nKcItDzR#69,,"(900, 1000]",d8d1,g6f5,d8d1,e5b2,d8f8,d8f8
C5TDM,5k2/pR6/1p5R/1P6/3r1p2/4p2K/3r4/8 w - - 6 48,a4d4 h6h8,901.0,80.0,100.0,56.0,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/0f43FY1G/black#94,,"(900, 1000]",h6h8,b7b6,b7d7,h6h4,h6h8,b7b6
CmN44,2rk4/4b1N1/p2n4/1p1Q2p1/3B1P2/8/PPPq4/1K1N2R1 b - - 0 30,f5d5 d2c2 b1a1 c2c1,901.0,75.0,100.0,1212.0,master mate mateIn2 middlegame queensideAttack short,https://lichess.org/amAFDUTN#59,,"(900, 1000]",d2c2,d2d4,d2c2,c8a8,d2g2,d2d4
DYGrg,r4n1k/p1pqbQpp/1p1pNr2/3Pp3/1P2R3/P1P4P/3B1PP1/R5K1 w - - 6 25,h6f6 f7g7,901.0,95.0,100.0,33.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/lIwRZd8J/black#48,,"(900, 1000]",f7g7,e6f4,e4e3,f7g7,c3c4,f7g7
EgZNx,8/5Qpk/4p3/3n3p/8/P3BN2/4qPPP/6K1 b - - 4 26,e1f3 e2d1 f3e1 d1e1,901.0,76.0,100.0,281.0,endgame mate mateIn2 short,https://lichess.org/jFHAxTCb#51,,"(900, 1000]",e2d1,e2d1,e2a2,e2b5,d5e7,e2d1
FJQAS,7k/5pbp/1q6/pp1r4/4Q3/1P2P1P1/P4P1P/6K1 w - - 0 33,d8d5 e4e8 g7f8 e8f8,901.0,82.0,100.0,40.0,endgame mate mateIn2 short,https://lichess.org/UzwS25no/black#64,,"(900, 1000]",e4e8,e4e8,a2a4,h2h3,e4e5,e4e5
HO3nt,1r6/2R2p1p/p2pkp2/1r2p3/4PP2/2K3P1/1P5P/7R w - - 3 25,a5b5 f4f5,901.0,75.0,100.0,481.0,endgame mate mateIn1 oneMove rookEndgame,https://lichess.org/NNNNrCQ0/black#48,,"(900, 1000]",f4f5,f4f5,h2h4,g3g4,c7e7,c7e7
HPbzi,8/5ppk/1p4p1/p7/8/1rr2nR1/5PKP/3R4 w - - 4 51,c4c3 g3h3 f3h4 h3h4 h7g8 d1d8,901.0,76.0,100.0,273.0,endgame long mate mateIn3,https://lichess.org/mpXShXnA/black#100,,"(900, 1000]",g3h3,g3g4,g3h3,d1c1,g3f3,g3f3
03DWn,rn2k2r/pNb3p1/2pqpp1p/8/3P4/2P4P/PP2BRP1/R2Q2K1 b kq - 0 17,c5b7 d6h2 g1f1 h2h1,902.0,101.0,100.0,26.0,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/xR7F5LTf#33,Zukertort_Opening Zukertort_Opening_Wade_Defense,"(900, 1000]",d6h2,e8g8,b8d7,h8g8,d6h2,e8g8
0BaO8,4r3/1p3p1k/p1b1q1pp/P2pNN2/1b1PnQP1/3p3P/1P3P1B/6RK w - - 10 38,g7h7 f4h6 h7g8 h6g7,902.0,76.0,100.0,345.0,mate mateIn2 middlegame short,https://lichess.org/1uw8cFXx/black#74,,"(900, 1000]",f4h6,e5c4,f5g7,f4d2,f4h6,f5g7
0Np2h,r1b3k1/p1q2p2/1pn3r1/7Q/8/1NPp4/P1P2PPP/R3R1K1 w - - 0 22,e4d3 e1e8 g8g7 h5h8,902.0,75.0,100.0,761.0,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/L0fTxUJ0/black#42,,"(900, 1000]",e1e8,e1e2,e1e8,h5b5,h5g5,h5g5
0Z4j1,rn2k2r/pp1b1ppp/1q6/1B1PP3/Q1p3n1/2N2N2/PPP3PP/R1B2K1R b kq - 1 13,g1f1 b6f2,902.0,79.0,100.0,171.0,mate mateIn1 oneMove opening,https://lichess.org/If7LUG3e#25,Kings_Pawn_Game Kings_Pawn_Game_Busch-Gass_Gambit,"(900, 1000]",b6f2,d7b5,e8e7,e8g8,b6f2,b6f2
0mVBM,5rk1/1p2Bp2/p5r1/2p5/P1Qb4/1P1P4/6P1/5R1K b - - 8 29,h4e7 g6h6 e7h4 h6h4,902.0,76.0,100.0,136.0,endgame mate mateIn2 short,https://lichess.org/kBSmzcny#57,,"(900, 1000]",g6h6,b7b6,d4f6,g6h6,f8b8,d4f6
1BcEh,r4rk1/ppp2ppp/1b2b1q1/3P4/2Qn1B1P/2N2P2/PPP3P1/2KR1B1R b - - 1 16,e2c4 g6c2,902.0,76.0,100.0,891.0,mate mateIn1 middlegame oneMove queensideAttack,https://lichess.org/cfDeu5C9#31,Scotch_Game Scotch_Game_Potter_Variation,"(900, 1000]",g6c2,e6d5,b6a5,d4b5,g6c2,e6d5
1EzCd,4rn1r/1pB1k3/pNb1pp1p/2p4P/3p4/1P1P4/P1PKPP2/6RR w - - 0 24,d7c6 g1g7,902.0,75.0,100.0,172.0,mate mateIn1 middlegame oneMove,https://lichess.org/qdOLTk2x/black#46,,"(900, 1000]",g1g7,g1e1,b6d5,g1g7,g1g2,g1g7
1IDcC,r3r3/pp3pk1/2p3p1/3pP1P1/1qn4P/1PN3Q1/P1P5/2KRR3 b - - 0 21,b2b3 b4a3 c1b1 a3b2,902.0,76.0,100.0,441.0,mate mateIn2 middlegame queensideAttack short,https://lichess.org/Ox1iPd18#41,,"(900, 1000]",b4a3,a8c8,b4a3,d5d4,b4d6,b4a3
1QyqV,8/4R1pp/1q1k1b2/5Q2/P2p4/8/2P2PPP/6K1 b - - 0 42,e1e7 b6b1 e7e1 b1e1,902.0,78.0,100.0,148.0,endgame mate mateIn2 short,https://lichess.org/5ip8YSs1#83,,"(900, 1000]",b6b1,g7g6,b6c7,b6c5,b6b1,b6c7
1dmi4,r3k1Br/1bpp2pp/1bn5/1p1Qp1q1/pP2P3/2PP4/P2N1PPP/R3K2R w KQkq - 0 14,e7g5 d5f7 e8d8 f7f8,902.0,75.0,100.0,324.0,mate mateIn2 middlegame short,https://lichess.org/IbJaueb9/black#26,Italian_Game Italian_Game_Classical_Variation,"(900, 1000]",d5f7,d5d7,d3d4,d2f3,d5f7,d5f7
1i7t2,8/3N1pk1/4p1p1/KP1nP2p/1PQ2P1P/6P1/8/4q3 b - - 8 59,a4a5 e1a1 c4a2 a1a2,902.0,78.0,100.0,146.0,anastasiaMate endgame mate mateIn2 short,https://lichess.org/EqaQudiu#117,,"(900, 1000]",e1a1,d5b6,e1a1,e1g3,e1e5,e1g3
25wFW,r1bq3k/2p3p1/p1n1prQ1/1p3pN1/3P4/2PB4/PP3PP1/R3K3 w Q - 0 18,g8h8 g6h7,902.0,75.0,100.0,96.0,mate mateIn1 middlegame oneMove,https://lichess.org/6iYgrl1g/black#34,French_Defense French_Defense_Classical_Variation,"(900, 1000]",g6h7,f2f4,d3b5,g6h5,g6h7,g6h7
2gcg4,2r3k1/pp3ppp/4p3/q2p4/2rPnPQ1/4P3/PP2NPBP/2R3RK b - - 0 19,f3g4 e4f2,902.0,83.0,100.0,54.0,kingsideAttack mate mateIn1 middlegame oneMove smotheredMate,https://lichess.org/QHx8dKrf#37,,"(900, 1000]",e4f2,e4c5,g8h8,e4f2,c8e8,e4f2
3AMpL,rn3rk1/ppp1bpB1/8/7Q/2q1p3/2N4b/PP4PP/R5K1 w - - 0 17,c8h3 h5h8,902.0,77.0,100.0,475.0,mate mateIn1 middlegame oneMove,https://lichess.org/NbwRqiyT/black#32,Zukertort_Opening Zukertort_Opening_Tennison_Gambit,"(900, 1000]",h5h8,g7h6,h5h8,c3b1,g7f6,g7f6
3cmLH,8/2nk3p/4p1P1/pp1pR3/2pP2P1/P1P2r1r/1PN1RP2/4K3 b - - 0 35,h5g6 h3h1 e1d2 f3d3,902.0,78.0,100.0,428.0,endgame mate mateIn2 short,https://lichess.org/4S61T5Bl#69,,"(900, 1000]",h3h1,f3e3,h3h5,c7a8,h3h1,f3e3
5AvTe,8/1rBk1p1p/1P2p3/p2pP3/K6Q/8/1r3PRP/1q6 w - - 8 35,c1b1 h4d8 d7c6 d8d6,902.0,76.0,100.0,139.0,endgame mate mateIn2 short,https://lichess.org/DtkMNKGF/black#68,,"(900, 1000]",h4d8,h4g5,h4h7,h4d4,h4d8,h4d8
5egXi,r2k1b1r/pp1Ppppp/1qn5/8/4nBb1/1P3N2/P1P2PPP/RN1QKB1R b KQ - 0 9,b2b3 b6f2,902.0,80.0,100.0,73.0,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/oUJAD18o#17,Sicilian_Defense Sicilian_Defense_Modern_Variations,"(900, 1000]",b6f2,g4f3,b6f2,e4c5,g4h3,b6f2
752nE,4rk2/p3br1p/2p1qp2/2np4/8/1BN1Q1R1/PPP2PPP/6K1 w - - 0 22,d7e6 e3h6 f7g7 h6g7,902.0,75.0,100.0,160.0,mate mateIn2 middlegame short,https://lichess.org/Dxd6KIo5/black#42,,"(900, 1000]",e3h6,g3g4,a2a4,e3g5,e3h6,e3g5
7AoXf,8/1k3pp1/1p6/2p1pP2/4Pb2/3P3q/2P2B2/R4QKN b - - 0 34,g3h1 h3h2,902.0,78.0,100.0,331.0,endgame mate mateIn1 oneMove,https://lichess.org/lRIYHmCE#67,,"(900, 1000]",h3h2,f4h2,h3g3,h3g2,f4e3,h3g2
7L5G5,6k1/pppR4/3b4/7R/r7/2P2N1P/5PP1/6K1 b - - 0 35,h7h5 a4a1 f3e1 a1e1,902.0,123.0,100.0,12.0,endgame mate mateIn2 short,https://lichess.org/C1PVxwdL#69,,"(900, 1000]",a4a1,d6h2,d6e7,a4h4,a4a1,d6e7
7LVR3,r3r1k1/ppq2p1p/2pp1p1B/5b2/P1B2Pn1/7P/1PP1Q1P1/R3R1K1 w - - 1 19,e5g4 e2e8 a8e8 e1e8,902.0,76.0,100.0,177.0,kingsideAttack mate mateIn2 middlegame short,https://lichess.org/26bon1wC/black#36,Philidor_Defense Philidor_Defense_Lion_Variation,"(900, 1000]",e2e8,c2c3,h3g4,b2b4,e2e8,h3g4
7RLHd,r1b2rk1/1pqp2bp/p3ppp1/2P1n3/1P2P1n1/1BN2N2/P1PB1PPP/1R1Q1RK1 b - - 2 13,c4b3 e5f3 g2f3 c7h2,902.0,76.0,100.0,471.0,discoveredAttack kingsideAttack mate mateIn2 opening short,https://lichess.org/xD9y9qYE#25,Sicilian_Defense Sicilian_Defense_Hyperaccelerated_Dragon,"(900, 1000]",e5f3,a8a7,e5f3,f8f7,c7d6,e5f3
7bY8Z,8/3Q1pkp/P3p1p1/3p4/5P2/5qPK/6B1/8 b - - 9 55,f1g2 f3h5,902.0,75.0,100.0,399.0,endgame mate mateIn1 oneMove,https://lichess.org/RcacfaMo#109,,"(900, 1000]",f3h5,h7h6,f3d1,g7g8,f3h5,f3d1
8fBFk,r4rk1/2p3pp/1p1pN3/p2b1p2/4q3/1P4P1/PQ2PP1P/3RR1K1 w - - 0 21,b7d5 b2g7,902.0,79.0,100.0,430.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/1sQ0S94C/black#40,,"(900, 1000]",b2g7,d1a1,e2e3,h2h3,b2g7,e2e3
8kS72,1k2r3/ppp4r/6p1/nP6/6p1/q1N5/5PPP/3RRNK1 w - - 0 27,h8e8 e1e8,902.0,127.0,100.0,26.0,backRankMate mate mateIn1 middlegame oneMove,https://lichess.org/ucQWDZeE/black#52,,"(900, 1000]",e1e8,g2g3,d1d7,h2h3,e1e8,d1d7
9Ooe2,2bqrk2/2r3pQ/p2bp1P1/3p2p1/3P1P2/2PB2R1/1P6/5KR1 w - - 5 32,g8f8 h7h8 f8e7 h8g7,902.0,75.0,100.0,590.0,deflection interference mate mateIn2 middlegame short,https://lichess.org/sdxT2k3U/black#62,,"(900, 1000]",h7h8,g3h3,f1e2,h7h8,h7h5,h7h8
9QvzM,3R4/1q2k1p1/1P2pp2/7Q/p3rP2/8/5P1P/6K1 w - - 4 40,f7e7 h5e8,902.0,76.0,100.0,173.0,endgame mate mateIn1 oneMove,https://lichess.org/CSZIzStP/black#78,,"(900, 1000]",h5e8,h5g4,h5g6,h5e8,h5c5,h5g6
9qHLY,rkb4q/pp2b3/1n2pn2/1Q4pp/P2PB3/4P3/1P3PPP/R3K2R w KQ - 1 20,g8f6 b5e5 e7d6 e5d6,902.0,78.0,100.0,1696.0,mate mateIn2 middlegame queensideAttack short,https://lichess.org/KdL6nBD4/black#38,Horwitz_Defense Horwitz_Defense_Other_variations,"(900, 1000]",b5e5,e1f1,b5e2,e4b1,b5e5,b5e5
ASXqS,8/p7/3p3p/3Pkpp1/P7/1P1RKPPP/1r6/8 b - - 0 33,f2f3 f5f4 g3f4 g5f4,902.0,80.0,100.0,141.0,endgame mate mateIn2 rookEndgame short,https://lichess.org/9MW9bgUD#65,,"(900, 1000]",f5f4,b2e2,f5f4,a7a5,a7a6,f5f4
CyT8p,3r2k1/p4ppp/1p6/3P4/5Q2/1P4P1/P3q2P/5RK1 w - - 1 26,f8d8 f4f7 g8h8 f7f8 d8f8 f1f8,902.0,101.0,100.0,27.0,backRankMate endgame long mate mateIn3 sacrifice,https://lichess.org/z6Z2EHDZ/black#50,,"(900, 1000]",f4f7,f1f2,f4f2,f4d4,f4f7,f1f2
DB4oW,r1k3r1/ppp3qp/3b4/5p2/Q2p2N1/2P5/PP3PPP/R3R1K1 w - - 0 19,h6g7 e1e8 g8e8 a4e8,902.0,77.0,100.0,561.0,mate mateIn2 middlegame queensideAttack short,https://lichess.org/4Noatv3t/black#36,Italian_Game Italian_Game_Classical_Variation,"(900, 1000]",e1e8,g1h1,b2b4,e1e8,a4a7,a4a7
DgyhB,7k/1q4p1/pp3b1B/2pr1Q2/P7/1PP2b2/5P1P/4R1K1 w - - 1 29,d8d5 e1e8,902.0,79.0,100.0,647.0,mate mateIn1 middlegame oneMove,https://lichess.org/fJ61uVFV/black#56,,"(900, 1000]",e1e8,f5h3,f5f6,e1e8,f5g6,f5f6
E7FbM,r1b2rk1/p1q2ppp/2p2b2/1pn1p1N1/4P2Q/1BNP4/PPP3PP/R1B3K1 w - - 0 15,e7f6 h4h7,902.0,76.0,100.0,110.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/kfnDaxDd/black#28,Vienna_Game Vienna_Game_Other_variations,"(900, 1000]",h4h7,b3a4,h4h7,g1h1,a2a4,h4h7
EN7ue,6k1/1p2np1p/1q2p1p1/p3P3/b2pNPP1/P1r1r3/3N2BP/KR3Q1R b - - 13 27,b2a1 c3a3,902.0,76.0,100.0,153.0,mate mateIn1 middlegame oneMove,https://lichess.org/WDtgrKbT#53,,"(900, 1000]",c3a3,c3c7,c3a3,a4b5,b6c6,c3c7
EQTVC,2P5/7p/3Q2nk/8/2P3P1/P1r5/4r3/6K1 b - - 0 61,c7c8q c3c1 d6d1 c1d1,902.0,78.0,100.0,2177.0,endgame mate mateIn2 short,https://lichess.org/HURGqoqf#121,,"(900, 1000]", c3c,c3f3,e2e3,e2e4,c3c1,c3f3
FEnrV,r1b1r1k1/pppp1ppp/8/3n2q1/3b4/P2P1B2/1PP2PPP/R2QR1K1 w - - 0 15,f6d5 e1e8,902.0,77.0,100.0,90.0,backRankMate hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/yMALb7Sd/black#28,Russian_Game Russian_Game_Other_variations,"(900, 1000]",e1e8,d1b1,e1e8,g1h1,h2h4,g1h1
Foei5,r4k1r/ppQ2ppp/4p3/8/8/7P/PP1RKPq1/8 w - - 0 20,h1g2 d2d8 a8d8 c7d8,902.0,78.0,100.0,77.0,endgame mate mateIn2 short,https://lichess.org/YJYpkhaC/black#38,,"(900, 1000]",d2d8,d2d8,c7e7,c7c6,c7d8,c7e7
HOWMA,2k1r3/5ppp/1p6/1qb5/8/4P3/1P4PP/RR1QN1K1 b - - 0 24,c1d1 c5e3 g1h1 b5f1,902.0,76.0,100.0,366.0,mate mateIn2 middlegame short,https://lichess.org/2U2Tz6xd#47,,"(900, 1000]",c5e3,e8g8,g7g5,e8e3,c5e3,c5e3
HWjjN,2kr3r/pp3pp1/2p5/5q2/2PpR3/3P2Pp/PP1B1P1K/R2Q4 b - - 0 20,g2g3 f5f2 h2h1 f2g2,902.0,76.0,100.0,1209.0,mate mateIn2 middlegame short,https://lichess.org/Bq4PWQ0V#39,,"(900, 1000]",f5f2,d8f8,f5g4,f5f2,f5f6,f5f2
