PuzzleId,FEN,Moves,Rating,RatingDeviation,Popularity,NbPlays,Themes,GameUrl,OpeningTags,RatingBin,BestMove,A,B,C,D,GPT_BestMove
IdJy4,2b3k1/1p2pp2/3p2p1/2pP3p/2PbPP1P/1R3NP1/r7/3RK3 b - - 0 34,d2f3 d4f2 e1f1 c8h3,1402.0,75.0,100.0,570.0,endgame mate mateIn2 short,https://lichess.org/rdkZHr56#67,,"(1400, 1500]",d4f2,a2a6,d4f2,a2h2,c8g4,b2b3
2Y22s,2b2k2/1r3p2/p4Q2/q2N1p2/3n4/7P/PP3PP1/6K1 w - - 0 34,g7f8 f6h8,1403.0,75.0,100.0,684.0,endgame mate mateIn1 oneMove,https://lichess.org/PBD1mM3i/black#66,,"(1400, 1500]",f6h8,b2b3,f6h8,a2a4,g2g3,f6d8
6BPzB,4rbkr/pp4pp/8/2p1qNP1/3p4/5Q2/PPP4P/5RK1 w - - 0 23,e6e5 f5h6 g7h6 f3f7,1403.0,75.0,100.0,304.0,clearance kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/eNbRUSwP/black#44,,"(1400, 1500]",f5h6,a2a3,f3b3,b2b3,f5h6,f3b3
95RjN,2k4r/ppp2p2/5n2/3PQ3/1PP2qp1/1N6/P4P1R/4R2K b - - 0 25,g2h2 h8h2 h1g1 f4f2,1404.0,75.0,100.0,1241.0,mate mateIn2 middlegame short,https://lichess.org/HhHxiu7a#49,,"(1400, 1500]",h8h2,c7c5,h8h7,h8h2,f4d4,f6d7
9EZkW,8/p6p/2Q3pk/8/6K1/6P1/PP3q1P/8 b - - 0 37,e6c6 f2f5 g4h4 f5h5,1404.0,75.0,100.0,583.0,endgame mate mateIn2 queenEndgame short,https://lichess.org/b2UZqC5x#73,,"(1400, 1500]",f2f5,f2f4,f2f5,f2d4,f2b6,f2f6
BKzaQ,r4rk1/pp3ppp/2p2q2/2Pp4/3P4/n3PNP1/4BPP1/1Q2K2R w K - 0 19,c4a3 b1h7,1404.0,75.0,100.0,192.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/o85s0ZGJ/black#36,Indian_Defense Indian_Defense_Other_variations,"(1400, 1500]",b1h7,b1c1,f3h4,b1h7,e1g1,q1b2
FoSli,r7/pppbqB1k/3b3p/3P3Q/3n4/7P/PP3PP1/RN4K1 w - - 0 18,d8e7 h5g6 h7h8 g6h6,1404.0,75.0,100.0,185.0,deflection mate mateIn2 middlegame short,https://lichess.org/uYAIZ9Tm/black#34,French_Defense French_Defense_Exchange_Variation,"(1400, 1500]",h5g6,h5h6,f7e6,h5g6,b2b4,h5h7
26WOl,2kr2r1/Q1pb1p1p/1B1b1p2/8/8/5q2/PP3PPP/2R2RK1 w - - 0 21,d5f3 c1c7 d6c7 a7c7,1405.0,75.0,100.0,200.0,mate mateIn2 middlegame queensideAttack short,https://lichess.org/nN35I63F/black#40,,"(1400, 1500]",c1c7,b6a5,b6e3,c1c7,h2h4,a7b8
39a40,6k1/Q1p2p1p/1r6/3q4/8/2P2P2/R4P1P/5RK1 b - - 0 26,g2f3 b6g6 g1h1 d5f3,1405.0,74.0,100.0,1382.0,endgame intermezzo mate mateIn2 short,https://lichess.org/znbN0B9H#51,,"(1400, 1500]",b6g6,b6g6,d5a5,b6f6,d5g5,d5d2
BmxJ8,3r4/2pk2bp/Q7/8/1PP3p1/3Pp3/1P2K1Pq/5R2 w - - 1 34,c8d7 f1f7 d7e8 a6e6,1405.0,75.0,100.0,791.0,endgame fork mate mateIn2 short,https://lichess.org/6hzbIBE4/black#66,,"(1400, 1500]",f1f7,f1f3,f1f7,b2b3,a6b5,a6a7
2W7q9,8/7p/8/r4pR1/4pP1k/4N2P/7K/p7 w - - 0 46,a2a1q e3g2,1406.0,75.0,100.0,788.0,endgame mate mateIn1 oneMove,https://lichess.org/l6oQlRuS/black#90,,"(1400, 1500]", e3g,e3g2,g5f5,g5g6,e3f1,e3f1
DmQyi,rn3rk1/ppp2ppp/1q6/8/8/P4QP1/1PP3P1/3R1R1K w - - 1 17,b4b6 f3f7 f8f7 d1d8 f7f8 f1f8,1406.0,74.0,100.0,1826.0,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/barzwSot/black#32,Kings_Gambit_Accepted Kings_Gambit_Accepted_Schallopp_Defense,"(1400, 1500]",f3f7,d1d5,f3f7,f3h5,f3e3,f3b7
1vv5H,4rk1r/2p2pp1/p7/1PPQNq2/8/6p1/1P4PP/R3R1K1 b - - 0 24,c4b5 f5f2 g1h1 h8h2,1407.0,75.0,100.0,500.0,mate mateIn2 middlegame short,https://lichess.org/M2Vbjfbj#47,,"(1400, 1500]",f5f2,h8g8,f5f2,f5e4,h8h5,f5e5
GnVwR,r4r1k/pp4R1/1qpb1p1p/3p1p1b/1P3P2/P2PP2P/2P3QK/6R1 w - - 0 30,e8h5 g7h7 h8h7 g2g7,1408.0,75.0,100.0,242.0,attraction kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/ZZPBCg7Y/black#58,,"(1400, 1500]",g7h7,d3d4,g2g3,g7h7,h2g3,g7g8
4kz2d,r2q1b1r/1p1b1kpp/p4pn1/3p3Q/3N1p2/N1P5/PP3PPP/R3R1K1 w - - 0 16,e7g6 h5d5 d7e6 d5e6,1409.0,75.0,100.0,444.0,mate mateIn2 middlegame short,https://lichess.org/VL5cHmx5/black#30,French_Defense French_Defense_Advance_Variation,"(1400, 1500]",h5d5,b2b3,e1e2,h5d5,e1e6,h5g6
8JtIl,4rr2/Qbk3pp/1pp2q2/p2P4/P7/1BP5/1P3PPP/R1B2RK1 b - - 0 21,d4d5 f6f2 f1f2 e8e1 f2f1 e1f1,1409.0,75.0,100.0,349.0,kingsideAttack long mate mateIn3 middlegame sacrifice,https://lichess.org/tgNiEZZi#41,,"(1400, 1500]",f6f2,e8e6,e8e1,e8a8,f6f2,f6c3
1p38B,2k1r1nr/pp3bp1/2p1q3/2Qp3P/5B1P/2Pn1P2/PP1KN1B1/RN5R b - - 2 17,e1d2 e6e2,1410.0,74.0,100.0,244.0,mate mateIn1 middlegame oneMove,https://lichess.org/R7EmDK2K#33,Caro-Kann_Defense Caro-Kann_Defense_Advance_Variation,"(1400, 1500]",e6e2,e6e3,e6e2,b7b5,b7b6,d3xb2
3lzdb,2r1kb1r/5ppp/p3b3/1ppNn1B1/2p1P3/8/PP2BPPP/R2R2K1 w k - 0 15,c6e5 d5c7 c8c7 d1d8,1410.0,74.0,100.0,886.0,clearance mate mateIn2 middlegame sacrifice short,https://lichess.org/zO6l5dOE/black#28,Queens_Gambit_Accepted Queens_Gambit_Accepted_Other_variations,"(1400, 1500]",d5c7,d5c7,a2a4,f2f4,d1d2,d5e7
4iUog,r1b1r1k1/ppp2ppp/2n5/4p1q1/5n2/B1PP1N1P/P1PQ1PP1/R2BR1K1 b - - 9 15,h4f3 g5g2,1410.0,76.0,100.0,180.0,kingsideAttack mate mateIn1 oneMove opening,https://lichess.org/OzZSRUQZ#29,Russian_Game Russian_Game_Three_Knights_Game,"(1400, 1500]",g5g2,h7h5,g5g2,g5f6,f4g6,f4h3
61QMw,5rk1/1p3p2/p4PpQ/2q5/6bn/2Bp1P2/1P5P/R3RK2 b - - 2 29,g1f1 g4h3,1410.0,78.0,100.0,149.0,mate mateIn1 middlegame oneMove,https://lichess.org/76RlWoeM#57,,"(1400, 1500]",g4h3,c5c8,c5c3,g4h3,g4f5,g4h6
7la8C,4r2k/p1p3p1/5b1p/5PNQ/1P2Pq1P/8/PP1r4/K6R w - - 0 29,h7h6 h5e8,1410.0,76.0,100.0,209.0,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/SWdYmzIy/black#56,,"(1400, 1500]",h5e8,h5e8,a1b1,h5f3,h1d1,h5f7
G9nk7,Qn3rk1/p3p3/3p3p/5q2/3R4/2N5/P4PPP/1R4K1 b - - 0 24,b7a8 f5f2 g1h1 f2f1 b1f1 f8f1,1410.0,77.0,100.0,156.0,backRankMate fork long mate mateIn3 middlegame sacrifice,https://lichess.org/08zulRH3#47,,"(1400, 1500]",f5f2,f5d3,a7a6,f5f2,e7e5,f8f1
3ZpyN,5r2/2p4p/1p1p1R1b/pP1P2k1/2P3p1/P2QP1q1/1B1K4/8 w - - 2 33,a8f8 d3f5 g5h4 f6h6,1411.0,74.0,100.0,261.0,deflection endgame mate mateIn2 short,https://lichess.org/FXTfHThT/black#64,,"(1400, 1500]",d3f5,f6f4,d3f5,d2c3,f6g6,e3e5
AYFjq,r1b1q2k/pp4p1/2np3B/4prQn/2B5/5N2/PP3PPP/R3K2R w KQ - 4 20,f8f5 h6g7 h5g7 g5h6,1411.0,75.0,100.0,339.0,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/2pwQTQ4f/black#38,,"(1400, 1500]",h6g7,h6g7,g5d2,g5f5,g5e3,g5h5
48RDP,8/5p1p/p5pk/1p2Q3/3n4/P6P/1PP2qPK/3N4 b - - 3 31,c3d1 d4f3 h2h1 f2f1,1412.0,75.0,100.0,598.0,endgame mate mateIn2 pin short,https://lichess.org/S95rvY6H#61,,"(1400, 1500]",d4f3,f2g3,d4f3,d4c6,d4e6,f2f1
9gljX,8/p1p3kp/1p4p1/3P2b1/2Q1P3/8/PP4P1/4qRK1 b - - 1 26,f3f1 g5e3 g1h2 e1h4,1412.0,74.0,100.0,276.0,endgame mate mateIn2 short,https://lichess.org/agObCudz#51,,"(1400, 1500]",g5e3,e1f1,g5e3,g5d8,e1a5,e1f1
Abnix,6r1/1p1k1p2/p2p4/3B1P1b/3Q3p/P1P2q1P/1P3P1K/4R3 b - - 4 30,a2d5 g8g2 h2h1 f3h3,1412.0,90.0,100.0,56.0,deflection endgame mate mateIn2 short,https://lichess.org/8kIHU1uU#59,,"(1400, 1500]",g8g2,g8e8,f3g3,g8g2,f3h1,f3f5
FKz3l,6k1/3N1ppp/1pr2n2/p2pp3/P2P4/2BKPPP1/P4r1P/R6R b - - 0 28,c5d7 e5e4 f3e4 d5e4,1412.0,83.0,100.0,58.0,mate mateIn2 middlegame short,https://lichess.org/0zxgww18#55,,"(1400, 1500]",e5e4,e5e4,f6e8,e5d4,g7g6,e5d4
HSuhl,r1b2rk1/1pp1n1pp/p7/4n1N1/8/4B2P/PPP3P1/3R1RK1 w - - 0 19,c6e5 f1f8 g8f8 d1d8,1412.0,75.0,100.0,599.0,attraction kingsideAttack mate mateIn2 middlegame short,https://lichess.org/IV6FobRV/black#36,Italian_Game Italian_Game_Jerome_Gambit,"(1400, 1500]",f1f8,a2a3,e3a7,c2c4,f1f8,g5e4
0E8sf,r7/1bp1r3/1k1q4/p4R2/1pP5/1P2PQ2/P5P1/5R1K w - - 3 36,c6b6 f5b5 b6a7 f3b7,1413.0,76.0,100.0,152.0,mate mateIn2 middlegame short,https://lichess.org/GwwJ06Vh/black#70,,"(1400, 1500]",f5b5,f5h5,f1b1,f5b5,f3d5,f5f7
8Ny5O,8/7p/p7/1p2npPk/7P/1PbNB1K1/P7/8 w - - 0 42,d7e5 d3f4,1413.0,78.0,100.0,124.0,endgame mate mateIn1 oneMove,https://lichess.org/O3tKCNmO/black#82,,"(1400, 1500]",d3f4,e3c5,e3c1,d3f4,e3f2,d3f5
8ay9t,r1bq1k2/1p1n1rb1/p2p2n1/2pPp1QB/2P1P3/2N5/PP3PP1/R3K2R w KQ - 0 18,e7g6 g5d8,1413.0,75.0,100.0,980.0,hangingPiece mate mateIn1 middlegame oneMove,https://lichess.org/NAtcdyus/black#34,Benoni_Defense Benoni_Defense_French_Benoni,"(1400, 1500]",g5d8,g5d8,h1h4,h5d1,g5c1,h5g6
EMx75,5k2/4pp1p/4q1p1/p3P3/Q7/2r1BN2/5PPP/1K6 w - - 0 24,g8f8 e3h6 f8g8 a4e8,1413.0,75.0,100.0,616.0,endgame mate mateIn2 short,https://lichess.org/fYlx0lN7/black#46,,"(1400, 1500]",e3h6,b1a1,e3h6,h2h3,b1b2,a4a5
1tgg9,5rk1/1b5p/1p4p1/4p1q1/5R2/P2BQ3/1P1N2PP/R5K1 b - - 0 30,f1f4 g5g2,1414.0,75.0,100.0,394.0,mate mateIn1 middlegame oneMove,https://lichess.org/cjeUVbRg#59,,"(1400, 1500]",g5g2,g5g2,h7h5,f8d8,h7h6,g5f4
8o7LS,7r/7P/7R/8/K1k2P2/P7/8/8 b - - 0 65,f3f4 h8a8 h6a6 a8a6,1414.0,79.0,100.0,170.0,endgame mate mateIn2 rookEndgame short,https://lichess.org/QWVOiR2y#129,,"(1400, 1500]",h8a8,h8a8,h8g8,c4d3,h8b8,c4c5
AHkbH,rnb1k2r/pp1pBppp/4p3/2b5/4n3/5N2/PPP1PPPP/R2QKB1R b KQkq - 0 7,g5e7 c5f2,1414.0,75.0,100.0,745.0,attackingF2F7 mate mateIn1 oneMove opening,https://lichess.org/56HqDyVU#13,Benoni_Defense Benoni_Defense_Benoni_Gambit_Accepted,"(1400, 1500]",c5f2,e4f6,c5f2,c5e7,e4f2,k8e7
HkXJW,3k4/2p1b3/3pQ3/3Pp2P/4Pp2/qpNP1P2/P7/K7 b - - 3 47,e2c3 a3c1 c3b1 b3b2,1414.0,74.0,100.0,542.0,advancedPawn endgame fork mate mateIn2 short,https://lichess.org/B3esMQQt#93,,"(1400, 1500]",a3c1,b3b2,e7f8,a3c1,c7c5,b3b6
8ce14,5N2/3r2p1/5pbk/2Q4p/8/7P/P4PPK/1q6 w - - 2 38,h7h6 c5e3,1415.0,74.0,100.0,1552.0,endgame mate mateIn1 oneMove,https://lichess.org/AKTfpzLI/black#74,,"(1400, 1500]",c5e3,c5e3,c5f5,g2g3,c5b4,c5f8
EW87e,6kb/4Pp1p/6p1/2pP4/P4PP1/q6r/2Q1RBK1/8 b - - 0 33,d6e7 a3f3 g2f1 h3h1,1415.0,75.0,100.0,934.0,endgame mate mateIn2 pin short,https://lichess.org/KArzlp8P#65,,"(1400, 1500]",a3f3,f7f6,h3h2,a3f3,h3c3,h3h2
FYuEc,1br2Bk1/pp3p1p/3qpp2/4n3/2P5/3P1B1P/PP3PP1/R2Q1RK1 b - - 0 16,h6f8 e5f3 g2f3 d6h2,1415.0,75.0,100.0,1139.0,clearance kingsideAttack mate mateIn2 middlegame short,https://lichess.org/0S1r30gA#31,Scandinavian_Defense Scandinavian_Defense_Panov_Transfer,"(1400, 1500]",e5f3,h7h5,d6d4,c8f8,e5f3,d6f8
EWkP2,3rr1k1/5ppp/2pp4/Q7/4qn2/1P4N1/P2R1PPP/3R2K1 b - - 2 24,e2g3 e4g2,1416.0,75.0,100.0,487.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/NfF65QPX#47,,"(1400, 1500]",e4g2,g7g6,g7g5,e4g2,f4d5,d8d7
HZ34W,r5r1/1pq2p1k/p2b1p1p/2p5/2P5/1P1bR2R/P1N3QP/7K w - - 0 29,g6d3 h3h6 h7h6 e3h3,1416.0,75.0,100.0,1358.0,attraction mate mateIn2 middlegame sacrifice short,https://lichess.org/Ak5lIwpr/black#56,,"(1400, 1500]",h3h6,h3h6,g2d5,g2f1,g2d2,e3e7
1wx7k,7r/2R2pp1/kp2p3/p7/q2r3P/PQ1N4/1P4PP/5K2 w - - 1 28,a7a6 d3c5 b6c5 b3b7,1417.0,75.0,100.0,3446.0,endgame mate mateIn2 sacrifice short,https://lichess.org/RoF2tnti/black#54,,"(1400, 1500]",d3c5,b3c3,d3c5,c7c1,d3b4,b3a4
2cqZV,r7/2N1kp2/3p2pb/1p4q1/4P3/4nKBr/PPP5/R2Q2R1 w - - 2 27,e8e7 d1d6,1417.0,75.0,100.0,944.0,mate mateIn1 middlegame oneMove,https://lichess.org/70HyYwlD/black#52,,"(1400, 1500]",d1d6,e4e5,g1h1,d1d6,f3f2,d1d6
BQ25c,1k1r2r1/pp1n1p1p/4Pp2/6q1/8/P1N2P2/1P4PP/2R1QRK1 b - - 0 19,d5e6 g5g2,1417.0,75.0,100.0,2264.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/SKieKlQw#37,Nimzo-Indian_Defense Nimzo-Indian_Defense_Kmoch_Variation,"(1400, 1500]",g5g2,g5f5,g5e5,g8e8,g5g2,d7e5
CzZ8M,4rr1k/1bq1bp1p/p2p1npN/1pp1p1Q1/4P2B/2NP1P2/PPP3PP/R3K2R w KQ - 4 18,a8e8 g5f6 e7f6 h4f6,1417.0,74.0,100.0,545.0,kingsideAttack mate mateIn2 middlegame sacrifice short,https://lichess.org/p0fRPP5w/black#34,Sicilian_Defense Sicilian_Defense_Old_Sicilian,"(1400, 1500]",g5f6,b2b4,f3f4,g5f6,g5e3,g5f6
0zE9L,r2q1k1r/pb1nn1b1/1p1pR1Qp/2p3p1/2BP1p2/2N2N2/PPP3PP/R1B3K1 w - - 2 14,e8f8 e6f6 d7f6 g6f7,1418.0,101.0,100.0,56.0,mate mateIn2 middlegame sacrifice short,https://lichess.org/tGf91eyH/black#26,Kings_Gambit_Accepted Kings_Gambit_Accepted_Fischer_Defense,"(1400, 1500]",e6f6,c1f4,e6f6,a1b1,g6h5,g6f7
4B3vY,1r4r1/ppp4k/3pQ2p/8/2P2P1P/1P4P1/1B5K/1q6 w - - 3 37,g6h7 e6f7 g8g7 f7g7,1418.0,75.0,100.0,1105.0,endgame mate mateIn2 short,https://lichess.org/s5KCtdUe/black#72,,"(1400, 1500]",e6f7,b2e5,e6e5,e6f7,h4h5,e6e7
ARWRk,2r3k1/p4pp1/2R2n1p/3N4/8/P4Q2/1q3PPP/2R3K1 b - - 3 24,c7d5 b2c1 c6c1 c8c1 f3d1 c1d1,1418.0,75.0,100.0,142.0,backRankMate long mate mateIn3 middlegame xRayAttack,https://lichess.org/RYyvnUG2#47,,"(1400, 1500]",b2c1,g8h7,b2c1,h6h5,a7a5,b2xc1
AW2aC,1r4k1/5pp1/3Qb2p/3p2q1/p7/P2BR2P/1P3PPK/2r5 w - - 0 27,d8b8 d6b8 c1c8 b8c8 e6c8 e3e8,1418.0,82.0,100.0,105.0,long mate mateIn3 middlegame,https://lichess.org/oUKZd9XI/black#52,,"(1400, 1500]",d6b8,d6c7,d6b8,d6e5,d3e4,d6e6
IP5aM,8/8/8/7p/3Q2pk/5q2/7K/8 w - - 0 52,h7h5 d4d8 f3f6 d8f6,1418.0,74.0,100.0,991.0,endgame mate mateIn2 queenEndgame short,https://lichess.org/4dvHYw86/black#102,,"(1400, 1500]",d4d8,d4d8,d4e5,d4b6,d4a4,d4d8
Dbddk,3r1r2/8/3p1p2/pR5p/3k2p1/6P1/nN3PKP/2R5 w - - 0 34,d3d4 c1c4,1419.0,77.0,100.0,314.0,endgame mate mateIn1 oneMove,https://lichess.org/GjMFKcBM/black#66,,"(1400, 1500]",c1c4,b5c5,c1c4,c1d1,b2a4,b5d5
E3CXg,r7/4Q2p/p2p1p1B/2nq1k2/8/5P1P/P5PK/8 w - - 0 30,e6f5 g2g4 f5g6 e7g7,1419.0,74.0,100.0,189.0,endgame mate mateIn2 short,https://lichess.org/LzXyXBlg/black#58,,"(1400, 1500]",g2g4,e7e4,g2g4,e7h7,e7e2,e7f6
Fc2BP,r2q1rk1/5ppp/p1pbb3/6Q1/4np2/1P3N2/PBP3PP/4RRK1 w - - 0 17,f6e4 g5g7,1419.0,75.0,100.0,438.0,kingsideAttack mate mateIn1 middlegame oneMove,https://lichess.org/osew9XQA/black#32,Sicilian_Defense Sicilian_Defense_Snyder_Variation,"(1400, 1500]",g5g7,g5g7,g2g4,b2a1,g5f5,g5g7
GNwyQ,4r2r/pp1q1k1p/3pR1pP/2pP2Q1/2P5/1P6/P2P2P1/2K5 w - - 9 29,a8e8 g5f6 f7g8 e6e8 d7e8 f6g7,1419.0,76.0,100.0,781.0,deflection endgame long mate mateIn3,https://lichess.org/R0xx1bcg/black#56,,"(1400, 1500]",g5f6,c1b1,e6f6,g5f6,g5g4,e6e7
9MGV0,4Rrk1/1qr3pp/p4p2/3p4/2p3Q1/2p5/PP3PPP/4R1K1 w - - 0 25,b4c3 g4e6 c7f7 e8f8 g8f8 e6e8,1420.0,77.0,100.0,108.0,attraction endgame kingsideAttack long mate mateIn3 pin,https://lichess.org/0AGqsnyk/black#48,,"(1400, 1500]",g4e6,e1e7,g2g3,e1e5,g4e6,g4e6
2zhu4,r1bq1b1r/pp2k1pp/2p2N2/8/2B2Q2/P7/1P1P1PPP/n1BK4 w - - 4 16,e6e7 f4e5 c8e6 e5e6,1422.0,86.0,100.0,57.0,mate mateIn2 middlegame short,https://lichess.org/KbhKFUJr/black#30,Italian_Game Italian_Game_Two_Knights_Defense,"(1400, 1500]",f4e5,f4f3,f4e5,c4f1,c4a6,f4d6
3UBZG,r5k1/pb3ppp/8/5q2/3P4/2N4P/PPPQ1BP1/R6K b - - 0 24,g1h1 f5h3 h1g1 h3g2,1422.0,87.0,100.0,81.0,mate mateIn2 middlegame pin short,https://lichess.org/eu8Kz5ES#47,,"(1400, 1500]",f5h3,g8h8,f5h3,f5f4,b7d5,f5h7
3zlXp,r4rk1/1p3ppp/pq2p3/2np4/1b4n1/2NP1N1P/PP1BPPB1/R2QK2R b KQ - 0 14,h2h3 c5d3 e2d3 b6f2,1422.0,75.0,100.0,461.0,attackingF2F7 discoveredAttack mate mateIn2 middlegame short,https://lichess.org/zr9FqrJt#27,Grob_Opening Grob_Opening_Grob_Gambit,"(1400, 1500]",c5d3,c5d3,a8d8,g4h2,a6a5,b4c3
52G2K,r1bq1b1r/pp4pp/1kp5/1N1np3/PPB3Q1/2P5/3P1PPP/n1B2K1R w - - 0 15,c7c6 a4a5 b6a6 b5c7,1423.0,75.0,100.0,1677.0,doubleCheck mate mateIn2 middlegame short,https://lichess.org/QMyDjDfa/black#28,Italian_Game Italian_Game_Two_Knights_Defense,"(1400, 1500]",a4a5,c1b2,g4e2,c4d5,a4a5,g4c8
DKtJm,8/6k1/5p2/1Q1p2p1/3P3p/4PN1P/3NKPP1/r6q b - - 0 46,b2b5 h1d1 e2d3 a1a3 b5b3 a3b3,1423.0,75.0,100.0,1147.0,endgame long mate mateIn3 pin,https://lichess.org/kDM3c2TU#91,,"(1400, 1500]",h1d1,g7h6,h1d1,g5g4,g7h8,g7g6
Dv6Fy,r2q1brk/pbppp3/1pn2nQ1/3N2Np/2PP1B1P/4P3/PP3PP1/R3K2R w KQ - 3 15,g7f8 g5f7,1423.0,75.0,100.0,245.0,mate mateIn1 middlegame oneMove,https://lichess.org/W4HkBZXq/black#28,Queens_Pawn_Game Queens_Pawn_Game_Modern_Defense,"(1400, 1500]",g5f7,b2b4,g5f7,a2a3,f4c7,g6h7
5sAP5,r3k2r/1p2pp1n/p6p/B4q1P/6p1/2N3b1/PPPQB3/2KR4 w kq - 0 22,c8f5 d2d8 a8d8 d1d8,1424.0,75.0,100.0,465.0,mate mateIn2 middlegame sacrifice short,https://lichess.org/KK0luZ8m/black#42,,"(1400, 1500]",d2d8,d2d8,a2a4,a2a3,d2d4,d2d3
5zxfV,r4rk1/1pp2pBp/3p2p1/pN4n1/2P3q1/1P4P1/P1Q1N1KP/2RR4 b - - 0 22,b2g7 g4f3 g2g1 g5h3,1424.0,75.0,100.0,786.0,mate mateIn2 middlegame short,https://lichess.org/0gxSX9nO#43,,"(1400, 1500]",g4f3,a5a4,g4g3,g4f3,h7h5,g4e2
HlWzD,7k/6p1/pR1N4/P3p3/1P5p/6PP/5qQK/2r5 b - - 1 35,d5g2 h4g3,1424.0,91.0,100.0,70.0,endgame mate mateIn1 oneMove,https://lichess.org/HX8dlc0h#69,,"(1400, 1500]",h4g3,h4g3,f2e1,c1c7,f2b6,f2f6
Ibh5g,5r1k/7p/3Q4/5bp1/3b1N2/N4KP1/Pr5P/5R2 b - - 0 25,a6d6 g5g4,1424.0,75.0,100.0,453.0,mate mateIn1 middlegame oneMove,https://lichess.org/aXJR3jZ7#49,,"(1400, 1500]",g5g4,f8f7,g5g4,f8c8,f8b8,b2h2
