FEN1,Moves,FEN2,GPT_FEN
2k5/2P2pp1/2K5/2nN3p/8/8/8/8 b - - 1 60,c5e6,2k5/2P2pp1/2K1n3/3N3p/8/8/8/8 w - - 2 61,2k5/2P2pp1/2K1n2p/3N4/8/8/8/8 w - - 0 61
1k1R4/2p2p2/1pB4p/2b1r1p1/6P1/5P1P/6K1/8 b - - 1 37,b8a7,3R4/k1p2p2/1pB4p/2b1r1p1/6P1/5P1P/6K1/8 w - - 2 38,k1R5/1kp2p2/1pB4p/2b1r1p1/6P1/5P1P/6K1/8 w - - 2 38
4B2k/pp2Q1pp/2p5/8/4P3/2Pq2bP/PP4P1/R1B1Rr1K w - - 4 22,e1f1,4B2k/pp2Q1pp/2p5/8/4P3/2Pq2bP/PP4P1/R1B2R1K b - - 0 22,4B2k/pp2Q1pp/2p5/8/4P3/2Pq2bP/PP4P1/R1B2R1K b - - 5 22
6k1/pp3pp1/5r1p/8/5B2/2N5/PPP2RPP/4r2K w - - 1 25,f2f1,6k1/pp3pp1/5r1p/8/5B2/2N5/PPP3PP/4rR1K b - - 2 25,6k1/pp3pp1/5r1p/8/5B2/2N5/PPP3PP/4rR1K b - - 2 25
3r2k1/7p/1p4n1/p6R/8/2N1Q3/PPP3P1/2K2q2 w - - 0 31,c3d1,3r2k1/7p/1p4n1/p6R/8/4Q3/PPP3P1/2KN1q2 b - - 1 31,3r2k1/7p/1p4n1/p6R/8/4Q3/PPP3P1/3N1q2 w - - 0 32
1r4k1/6p1/6pp/3p4/p2P4/1P6/P3RPPP/6K1 w - - 0 32,b3a4,1r4k1/6p1/6pp/3p4/P2P4/8/P3RPPP/6K1 b - - 0 32,1r4k1/6p1/6pp/3p4/P2P4/1P6/4RPPP/6K1 b - - 0 32
5r2/ppp3pk/3p1q1p/3Pp3/2P1P2P/2N3Q1/PP5P/R5K1 w - - 3 25,c3d1,5r2/ppp3pk/3p1q1p/3Pp3/2P1P2P/6Q1/PP5P/R2N2K1 b - - 4 25,5r2/ppp3pk/3p1q1p/3Pp3/2P1P2P/8/PP1N3P/R5K1 w - - 4 26
5rk1/p5p1/7p/P4r2/2P5/1Q2q3/4p1PP/4R1K1 w - - 0 34,b3e3,5rk1/p5p1/7p/P4r2/2P5/4Q3/4p1PP/4R1K1 b - - 0 34,5rk1/p5p1/7p/P4r2/2P5/4QB2/4p1PP/4R1K1 b - - 0 34
2rQ2k1/5p1p/6p1/pp2BqPn/2r2P2/P1P5/1P5P/2KRR3 b - - 2 25,c8d8,3r2k1/5p1p/6p1/pp2BqPn/2r2P2/P1P5/1P5P/2KRR3 w - - 0 26,3r1Qk1/5p1p/6p1/pp2BqPn/2r2P2/P1P5/1P5P/2KRR3 b - - 3 25
2r3k1/pR3ppp/4p3/3pP3/P7/5P1P/2Q2P2/6K1 b - - 0 25,c8c2,6k1/pR3ppp/4p3/3pP3/P7/5P1P/2r2P2/6K1 w - - 0 26,2r3k1/pR3ppp/4p3/3pP3/P7/5P1P/2r2P2/6K1 w - - 0 26
5rk1/1Qp2q2/p3p3/P2Pp2p/8/2PP2pP/1P1b2P1/R2R1r1K w - - 1 28,d1f1,5rk1/1Qp2q2/p3p3/P2Pp2p/8/2PP2pP/1P1b2P1/R4R1K b - - 0 28,5rk1/1Qp2q2/p3p3/P2Pp2p/8/2PP2pP/1P1b2P1/R4R1K b - - 2 28
2rqk2r/pp2Rpp1/2b2n1p/2pp4/8/2NPQ3/PPPB1PPP/4R1K1 b k - 0 16,d8e7,2r1k2r/pp2qpp1/2b2n1p/2pp4/8/2NPQ3/PPPB1PPP/4R1K1 w k - 0 17,2r1k2r/pp2qpp1/2b2n1p/2pp4/8/2NPQ3/PPPB1PPP/4R1K1 b k - 0 17
6k1/p1p2pp1/1p5p/8/4q3/2P5/PPPr1PPP/4R1K1 w - - 0 21,e1e4,6k1/p1p2pp1/1p5p/8/4R3/2P5/PPPr1PPP/6K1 b - - 0 21,6k1/p1p2pp1/1p5p/8/4R3/2P5/PPPr1PPP/6K1 b - - 1 21
4r1k1/b4pp1/p6p/1p2Q3/1P4b1/P3P3/5PPP/1B1R2K1 b - - 0 23,e8e5,6k1/b4pp1/p6p/1p2r3/1P4b1/P3P3/5PPP/1B1R2K1 w - - 0 24,4r1k1/b4pp1/p6p/1p2r3/1P4b1/P3P3/5PPP/1B1R2K1 w - - 1 24
4r2k/4R2p/2pR2pP/4np2/3p4/4P1P1/1r3P2/5K2 b - - 3 40,e8e7,7k/4r2p/2pR2pP/4np2/3p4/4P1P1/1r3P2/5K2 w - - 0 41,4r1k1/4R2p/2pR2pP/4np2/3p4/4P1P1/1r3P2/5K2 b - - 4 40
1kr5/1p1R1Qpp/1p6/8/5p1b/1P6/P3N1PP/2q4K w - - 1 29,e2c1,1kr5/1p1R1Qpp/1p6/8/5p1b/1P6/P5PP/2N4K b - - 0 29,1kr5/1p1R1Qpp/1p6/8/5p1b/1P6/P5PP/2N4K b - - 0 30
r4rk1/1b3ppp/1b2pn2/p1pq4/P1Np1P2/1P1N4/1BPP2PP/R2Q1R1K w - - 2 16,c4b6,r4rk1/1b3ppp/1N2pn2/p1pq4/P2p1P2/1P1N4/1BPP2PP/R2Q1R1K b - - 0 16,r4rk1/1b3ppp/N3pn2/p1pq4/P2p1P2/1P1N4/1BPP2PP/R2Q1R1K b - - 0 16
8/8/R7/1p4pk/1P2n3/P2b3P/7K/8 b - - 2 49,h5h4,8/8/R7/1p4p1/1P2n2k/P2b3P/7K/8 w - - 3 50,8/8/R7/1p4p1/1P2n2k/P2b3P/7K/8 w - - 0 50
5rk1/1b3ppp/p7/1ppr4/5B2/2P3P1/PP1Q1P1P/RN4K1 w - - 0 22,d2e3,5rk1/1b3ppp/p7/1ppr4/5B2/2P1Q1P1/PP3P1P/RN4K1 b - - 1 22,5rk1/1b3ppp/p7/1ppr4/5B2/2P1Q1P1/PP3P1P/RN4K1 b - - 1 22
6k1/p3r2p/2Q3p1/3p4/5P2/P5Pb/1P5P/3Rq2K w - - 3 34,d1e1,6k1/p3r2p/2Q3p1/3p4/5P2/P5Pb/1P5P/4R2K b - - 0 34,6k1/p3r2p/2Q3p1/3p4/5P2/P5Pb/1P5P/4R2K b - - 4 34
1Q6/6pk/5q2/2B2p1p/8/5B2/5PPP/6K1 w - - 1 36,b8b4,8/6pk/5q2/2B2p1p/1Q6/5B2/5PPP/6K1 b - - 2 36,1Q6/6pk/5q2/2B2p1p/1Q6/5B2/5PPP/6K1 w - - 2 36
8/k7/4p3/1r3p2/3P4/4PPp1/6P1/2R3K1 w - - 0 41,c1c6,8/k7/2R1p3/1r3p2/3P4/4PPp1/6P1/6K1 b - - 1 41,8/k7/2R1p3/1r3p2/3P4/4PPp1/6P1/6K1 b - - 1 41
2R4k/6rp/p2q1p1p/1p2pn2/3pP3/1Q1P2P1/PP3PKP/8 b - - 0 25,g7g8,2R3rk/7p/p2q1p1p/1p2pn2/3pP3/1Q1P2P1/PP3PKP/8 w - - 1 26,2R4r/6p1/p2q1p1p/1p2pn2/3pP3/1Q1P2P1/PP3PKP/8 b - - 1 25
6k1/1p1P1ppp/p2rp3/3p4/3P1P2/1P5P/P5P1/2R4K b - - 0 29,d6d7,6k1/1p1r1ppp/p3p3/3p4/3P1P2/1P5P/P5P1/2R4K w - - 0 30,6k1/1p1p1ppp/p2Pp3/3p4/3P1P2/1P5P/P5P1/2R4K b - - 0 29
2r2rk1/1p1b1ppp/p3p2n/3pP3/3P1Pq1/P1NQ2P1/1P5P/1BR2RK1 b - - 2 18,g4h3,2r2rk1/1p1b1ppp/p3p2n/3pP3/3P1P2/P1NQ2Pq/1P5P/1BR2RK1 w - - 3 19,2r2rk1/1p1b1ppp/p3p2n/3pP3/3P1PqP/P1NQ2P1/1P6/1BR2RK1 b - - 0 19
2R1rn1k/p3Q1pp/5pq1/4p3/8/7P/5PP1/2R3K1 b - - 4 34,e8e7,2R2n1k/p3r1pp/5pq1/4p3/8/7P/5PP1/2R3K1 w - - 0 35,2R2r1k/p3q1pp/5pq1/4p3/8/7P/5PP1/2R3K1 w - - 5 35
1r4k1/5ppp/Q3p3/3pP3/P1pP4/8/5PPP/6qK w - - 0 28,h1g1,1r4k1/5ppp/Q3p3/3pP3/P1pP4/8/5PPP/6K1 b - - 0 28,1r4k1/5ppp/Q3p3/3pP3/P1pP4/8/5PPP/6K1 b - - 1 28
r7/8/2p1R3/6pk/8/2BP2Pp/1PP2P1P/6K1 w - - 2 38,e6c6,r7/8/2R5/6pk/8/2BP2Pp/1PP2P1P/6K1 b - - 0 38,r7/8/2R5/6pk/8/2BP2Pp/1PP2P1P/6K1 w - - 0 39
1k2b3/pp5p/3Qp1r1/3p4/q2P4/8/2R4P/7K b - - 7 37,b8a8,k3b3/pp5p/3Qp1r1/3p4/q2P4/8/2R4P/7K w - - 8 38,k3b3/pp5p/3Qp1r1/3p4/q2P4/8/2R4P/7K w - - 8 38
4r2k/1p4pp/p4p2/8/6P1/5N1P/r4P2/2R2K2 b - - 0 33,e8e2,7k/1p4pp/p4p2/8/6P1/5N1P/r3rP2/2R2K2 w - - 1 34,4r2k/1p4pp/p4p2/8/6P1/5N1P/r3rP2/2R2K2 w - - 0 34
4r1k1/pp2rpp1/6p1/8/2P3n1/2N4R/PPP3PP/3R2K1 w - - 4 22,d1d4,4r1k1/pp2rpp1/6p1/8/2PR2n1/2N4R/PPP3PP/6K1 b - - 5 22,4r1k1/pp2rpp1/6p1/8/3R2n1/2N4R/PPP3PP/6K1 b - - 5 22
2k2r2/1p1r3p/p7/n3B1p1/2bPB1Q1/P7/1P4PP/2R1N1KR w - - 4 32,e5g7,2k2r2/1p1r2Bp/p7/n5p1/2bPB1Q1/P7/1P4PP/2R1N1KR b - - 5 32,2k2r2/1p1r2BP/p7/n5p1/2bPB1Q1/P7/1P4PP/2R1N1KR b - - 5 32
6Q1/7p/b2p1k2/1q2pp2/1P2p3/8/2P2PPP/5RK1 w - - 3 26,g8h7,8/7Q/b2p1k2/1q2pp2/1P2p3/8/2P2PPP/5RK1 b - - 0 26,6Q1/6Pp/b2p1k2/1q2pp2/1P2p3/8/2P2PPP/5RK1 b - - 4 26
1k6/ppp5/8/8/3Br3/2P5/P1r5/5RK1 b - - 1 34,a7a5,1k6/1pp5/8/p7/3Br3/2P5/P1r5/5RK1 w - - 0 35,1k6/1pp5/p7/8/3Br3/2P5/P1r5/5RK1 w - - 0 35
rnb1k1r1/pp3p1p/2p1pB2/1B6/4n3/5N2/PP3PPP/3RK2R b Kq - 2 13,c6b5,rnb1k1r1/pp3p1p/4pB2/1p6/4n3/5N2/PP3PPP/3RK2R w Kq - 0 14,rnb1k1r1/pp3p1p/4pB2/1p6/4n3/5N2/PP3PPP/3RK2R b K - 0 14
r2R2k1/4pr1p/pq3ppB/2p1bn2/8/2P5/PP1Q2PP/3R2K1 b - - 2 21,a8d8,3r2k1/4pr1p/pq3ppB/2p1bn2/8/2P5/PP1Q2PP/3R2K1 w - - 0 22,3r2k1/4pr1p/pq3ppB/2p1bn2/8/2P5/PP1Q2PP/3R2K1 b - - 3 21
3r4/p5k1/1pbq1ppp/8/2Q5/2N3P1/PP2PP1P/4R1K1 w - - 3 31,e1d1,3r4/p5k1/1pbq1ppp/8/2Q5/2N3P1/PP2PP1P/3R2K1 b - - 4 31,3r4/p5k1/1pbq1ppp/8/2Q5/2N3P1/PP2PP1P/3KR3 b - - 4 31
2n5/8/8/1PK3k1/8/8/8/8 b - - 0 61,c8a7,8/n7/8/1PK3k1/8/8/8/8 w - - 1 62,6n1/8/8/1PK3k1/8/8/8/8 w - - 1 62
3RbR2/pp2N2k/7p/4p1p1/4p3/7Q/P5PP/2q4K w - - 1 32,d8d1,4bR2/pp2N2k/7p/4p1p1/4p3/7Q/P5PP/2qR3K b - - 2 32,3RbR2/pp2N2k/7p/4p1p1/4p3/7Q/P5PP/2qR3K w - - 0 32
6k1/R4ppp/4p3/3p3n/3P4/4PP2/1Nr3PP/4K3 b - - 3 27,c2b2,6k1/R4ppp/4p3/3p3n/3P4/4PP2/1r4PP/4K3 w - - 0 28,6k1/R4ppp/4p3/3p3n/3P4/1r2PP2/1N4PP/4K3 b - - 4 27
k1Q5/pp1b2p1/qp1p4/3Pn3/P3P2r/6p1/1P4BP/2R1N1BK b - - 1 29,d7c8,k1b5/pp4p1/qp1p4/3Pn3/P3P2r/6p1/1P4BP/2R1N1BK w - - 0 30,k1b5/ppQ3p1/qp1p4/3Pn3/P3P2r/6p1/1P4BP/2R1N1BK w - - 0 30
3r3k/r6p/p1R1BPp1/1p6/3P4/7P/PP3KP1/8 b - - 2 30,d8d4,7k/r6p/p1R1BPp1/1p6/3r4/7P/PP3KP1/8 w - - 0 31,3r3k/r6p/p1R1BPp1/1p6/4r3/7P/PP3KP1/8 w - - 3 31
3r4/p1p1kp2/3r1p1p/1pp5/4P3/1P3P2/PbP3PP/1K1R3R w - - 0 23,b1b2,3r4/p1p1kp2/3r1p1p/1pp5/4P3/1P3P2/PKP3PP/3R3R b - - 0 23,3r4/p1p1kp2/3r1p1p/1pp5/4P3/1P3P2/PKP3PP/3R3R b - - 1 23
r5k1/p5bp/1p3qp1/2p5/4Pp2/3PQ3/PP3P2/1K1R3R w - - 0 23,e3h3,r5k1/p5bp/1p3qp1/2p5/4Pp2/3P3Q/PP3P2/1K1R3R b - - 1 23,r5k1/p5bp/1p3qp1/2p5/4Pp2/3P4/PP3P2/1K1R3Q w - - 0 24
6k1/6p1/8/6N1/1K6/r3n3/P1P5/3R4 b - - 0 37,a3a2,6k1/6p1/8/6N1/1K6/4n3/r1P5/3R4 w - - 0 38,6k1/6p1/8/6N1/1K6/4n3/r1P5/3R4 b - - 1 37
r3R2k/pbpQ1pp1/2p4p/3p4/5P2/2qB4/P1P3PP/7K b - - 3 22,a8e8,4r2k/pbpQ1pp1/2p4p/3p4/5P2/2qB4/P1P3PP/7K w - - 0 23,4r1rk/pbpQ1pp1/2p4p/3p4/5P2/2qB4/P1P3PP/7K b - - 4 22
8/3Q1pkp/5Rp1/3p4/3Pp3/8/6PP/3q3K w - - 1 43,f6f1,8/3Q1pkp/6p1/3p4/3Pp3/8/6PP/3q1R1K b - - 2 43,8/3Q1pkp/8/3p4/3Pp3/8/6PP/5q1K w - - 0 44
r3kb1r/pp1q2p1/2p1p3/8/4n2p/7P/PPP2PPQ/R1B1R1K1 w kq - 0 17,e1e4,r3kb1r/pp1q2p1/2p1p3/8/4R2p/7P/PPP2PPQ/R1B3K1 b kq - 0 17,r3kb1r/pp1q2p1/2p1p3/8/4R2p/7P/PPP2PPQ/R1B3K1 b kq - 1 17
8/R3R1p1/5pkp/2r5/2p3P1/8/5PPK/2r5 b - - 3 34,c1d1,8/R3R1p1/5pkp/2r5/2p3P1/8/5PPK/3r4 w - - 4 35,8/R3R1p1/5pkp/2r5/2p3P1/8/3r1PPK/8 b - - 4 34
1k6/1pp5/p7/6NQ/4p3/8/P1q2PPP/3r1K2 w - - 1 32,h5d1,1k6/1pp5/p7/6N1/4p3/8/P1q2PPP/3Q1K2 b - - 0 32,1k6/1pp5/p7/6N1/4p3/8/P1q2PPP/3q1K2 b - - 0 32
r1q3kr/p4ppp/8/4Q3/1R6/3nP3/5PPP/3R2K1 w - - 3 25,d1d3,r1q3kr/p4ppp/8/4Q3/1R6/3RP3/5PPP/6K1 b - - 0 25,r1q3kr/p4ppp/8/4Q3/1R6/3RP3/5PPP/6K1 w - - 4 26
2r5/p4kp1/1p2pp2/8/3p4/6R1/PP1B1PP1/K3q3 w - - 0 38,d2e1,2r5/p4kp1/1p2pp2/8/3p4/6R1/PP3PP1/K3B3 b - - 0 38,2r5/p4kp1/1p2pp2/8/3p4/6R1/PP2BPP1/K3q3 w - - 0 38
r2q1rk1/3pnppp/ppbbp3/2p3N1/4PP1Q/2NP4/PPP3PP/R1B2RK1 b - - 3 11,e7g6,r2q1rk1/3p1ppp/ppbbp1n1/2p3N1/4PP1Q/2NP4/PPP3PP/R1B2RK1 w - - 4 12,r2q1rk1/3p1ppp/ppnbp1n1/2p3N1/4PP1Q/2NP4/PPP3PP/R1B2RK1 w - - 4 12
2kr1b1r/ppp2ppp/2p5/4PB2/8/4BNP1/q1P2K1P/3Q3R b - - 1 14,c8b8,1k1r1b1r/ppp2ppp/2p5/4PB2/8/4BNP1/q1P2K1P/3Q3R w - - 2 15,1kr1b1r/ppp2ppp/2p5/4PB2/8/4BNP1/q1P2K1P/3Q3R b - - 2 14
r4rk1/1bqn1ppp/ppp1p3/4P2n/2P2B2/2NQ3P/PPB2PP1/R4RK1 b - - 2 17,h5f4,r4rk1/1bqn1ppp/ppp1p3/4P3/2P2n2/2NQ3P/PPB2PP1/R4RK1 w - - 0 18,r4rk1/1bqn1ppp/ppp1p3/4P3/2P2n2/2NQ3P/PPB2PP1/R4RK1 b - - 0 18
8/1p3k2/6pp/P4P2/P3R3/3pb3/r5rP/3R1BK1 w - - 1 40,g1h1,8/1p3k2/6pp/P4P2/P3R3/3pb3/r5rP/3R1B1K b - - 2 40,8/1p3k2/6pp/P4P2/P3R3/3pb3/r5rP/3R1BK1R w - - 2 40
r1b1r2k/5p1p/p1p2N2/2pp4/2P2B1Q/3P4/PP3PPP/R3q1K1 w - - 1 22,a1e1,r1b1r2k/5p1p/p1p2N2/2pp4/2P2B1Q/3P4/PP3PPP/4R1K1 b - - 0 22,r1b1r2k/5p1p/p1p2N2/2pp4/2P2B1Q/3P4/PP3PPP/4q1KR w - - 2 22
8/3n4/4p1p1/1p2p2p/1N1kP3/1P3P1P/3K2P1/8 b - - 5 49,d7c5,8/8/4p1p1/1pn1p2p/1N1kP3/1P3P1P/3K2P1/8 w - - 6 50,8/2n5/4p1p1/1pPkp2p/1N2P3/1P3P1P/3K2P1/8 w - - 6 50
r3Q2k/2p3pp/p7/3p4/1P1r2q1/P7/2B3PP/R3R1K1 b - - 1 31,a8e8,4r2k/2p3pp/p7/3p4/1P1r2q1/P7/2B3PP/R3R1K1 w - - 0 32,4r1Qk/2p3pp/p7/3p4/1P1r2q1/P7/2B3PP/R3R1K1 b - - 2 31
2r5/p4ppk/1p5p/8/3Q4/4P3/P4PPP/6K1 w - - 0 31,d4d7,2r5/p2Q1ppk/1p5p/8/8/4P3/P4PPP/6K1 b - - 1 31,2r5/p2Q1ppk/1p5p/8/8/4P3/P4PPP/6K1 b - - 1 31
5r1k/6pp/1p4b1/p1p5/5Q2/1P6/P5PP/3R3K b - - 0 31,f8f4,7k/6pp/1p4b1/p1p5/5r2/1P6/P5PP/3R3K w - - 0 32,5r1k/6pp/1p4b1/p1p5/8/1P6/P5PP/3R3K w - - 0 32
2r3k1/p1P2ppp/4p3/8/8/4PKP1/7P/3R4 b - - 2 31,c8c7,6k1/p1r2ppp/4p3/8/8/4PKP1/7P/3R4 w - - 0 32,2r3k1/2P2ppp/4p3/8/8/4PKP1/7P/3R4 w - - 3 32
3r1Q1k/p1p3pp/b5r1/2p5/2P1p1q1/1PB5/P2P2PP/R4RK1 b - - 3 26,d8f8,5r1k/p1p3pp/b5r1/2p5/2P1p1q1/1PB5/P2P2PP/R4RK1 w - - 0 27,3r1Qrk1/p1p3pp/b5r1/2p5/2P1p1q1/1PB5/P2P2PP/R4RK1 b - - 4 26
r3r1k1/pp3p1p/2pp2p1/8/2R2B2/8/P4QPP/4q2K w - - 0 30,f2e1,r3r1k1/pp3p1p/2pp2p1/8/2R2B2/8/P5PP/4Q2K b - - 0 30,r3r1k1/pp3p1p/2pp2p1/8/2R2B2/8/P6P/4K2q w - - 0 31
r3R2k/p1p3pp/1p6/8/7q/1P6/1PP2rPP/4R1K1 b - - 0 27,a8e8,4r2k/p1p3pp/1p6/8/7q/1P6/1PP2rPP/4R1K1 w - - 0 28,4r1rk/p1p3pp/1p6/8/7q/1P6/1PP2rPP/4R1K1 b - - 1 27
8/2p3pk/8/1P1Q1p2/3P4/r5pP/6P1/6qK w - - 0 32,h1g1,8/2p3pk/8/1P1Q1p2/3P4/r5pP/6P1/6K1 b - - 0 32,8/2p3pk/8/1P1Q1p2/3P4/r5pP/6P1/6K1 b - - 1 32
7k/1p5p/p2p1q2/2p5/P3P1pP/1PP3P1/6K1/5Q2 b - - 0 31,f6c3,7k/1p5p/p2p4/2p5/P3P1pP/1Pq3P1/6K1/5Q2 w - - 0 32,7k/1p5p/p2p2/2p5/P3P1pP/1Pq3P1/6K1/5Q2 b - - 0 32
6k1/1q3p1p/6pB/3R4/2pR4/2Pb2PP/5P1K/r7 b - - 4 33,a1a8,r5k1/1q3p1p/6pB/3R4/2pR4/2Pb2PP/5P1K/8 w - - 5 34,r5k1/1q3p1p/6pB/3R4/2pR4/2Pb2PP/5P1K/8 w - - 5 34
5r1k/1p3Qpp/2p2p2/p7/8/7P/P4PP1/4R1K1 b - - 0 29,f8f7,7k/1p3rpp/2p2p2/p7/8/7P/P4PP1/4R1K1 w - - 0 30,5rk1/1p3rpp/2p2p2/p7/8/7P/P4PP1/4R1K1 w - - 1 30
r1b1k1nr/4Bpbp/p5p1/1q2P3/8/5N2/P1P3PP/1R1Q1RK1 b kq - 0 17,b5c6,r1b1k1nr/4Bpbp/p1q3p1/4P3/8/5N2/P1P3PP/1R1Q1RK1 w kq - 1 18,r1b1k1nr/4Bpbp/p1q3p1/4P3/8/5N2/P1P3PP/1R1Q1RK1 b kq - 0 18
q2Q2k1/5ppp/8/8/3R4/7P/5PPK/8 b - - 0 36,a8d8,3q2k1/5ppp/8/8/3R4/7P/5PPK/8 w - - 0 37,3q2k1/5ppp/8/8/3R4/7P/5PPK/8 w - - 1 37
4q3/pb3p1k/1pBr2pp/8/2P4N/2P3P1/P4P1P/3R2K1 w - - 0 29,c6e8,4B3/pb3p1k/1p1r2pp/8/2P4N/2P3P1/P4P1P/3R2K1 b - - 0 29,4Q3/pb3p1k/1p1r2pp/8/2P4N/2P3P1/P4P1P/3R2K1 b - - 1 29
7k/1p4pp/pp6/8/2R2r2/8/PP5P/5RK1 b - - 0 35,f4c4,7k/1p4pp/pp6/8/2r5/8/PP5P/5RK1 w - - 0 36,7k/1p4pp/pp6/8/2r5/8/PP5P/5RK1 b - - 0 36
